group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot
A,159431,train,9,5,9 8 7 8 9 10 1 2 3 4 5,11,1296 663 1892 629 786 721 623 814 4314 686 496 1289,40 40 38 38 38 38 37 37 40 40 40 32,14209
A,159431,train,1,3,1 10 1 2 3,5,38 589 1257 1879 1469 926,39 39 37 37 40 32,6158
A,159431,train,4,6,4 5 6,3,1475 2005 1038,40 39 32,4518
A,159431,train,4,6,4 3 2 3 4 5 6,7,5021 709 1219 1084 1084 933 1425,38 38 40 40 40 39 32,11475
A,159431,train,10,7,10 9 8 7,4,5351 1373 777 1418,40 40 40 32,8919
A,159431,train,1,3,1 10 1 2 3,5,81320 1419 6280 816 948 1451,32 39 37 37 40 32,92234
A,159431,train,4,6,4 5 6,3,1518 1216 2034,40 39 32,4768
A,159431,train,1,3,1 10 1 2 3,5,4574 1906 835 621 1018,39 37 37 40 32,8954
A,159431,train,10,7,10 1 2 1 10 9 8 7,8,43356 2363 931 796 1256 1318 1271 732,37 37 39 39 40 40 40 32,52023
A,159431,train,1,3,1 10 9 10 1 2 3,7,1636 685 828 1617 1904 632 824,39 40 38 37 37 40 32,8126
A,159431,train,4,6,4 5 6,3,2424 699 615,40 39 32,3738
A,159431,train,3,6,3 2 3 4 5 6,6,1425 1216 576 1760 769 1912,38 40 40 40 39 32,7658
A,159431,train,1,4,1 10 1 2 1 10 1 2 3 4,10,22342 2115 1445 1750 3048 2223 909 1226 1934 1009,39 37 37 39 39 37 37 40 40 32,38001
A,159431,train,1,3,1 10 1 2 3,5,1471 1645 1021 597 1092,39 37 37 40 32,5826
A,159431,train,4,6,4 5 6,3,1822 614 769,40 39 32,3205
A,159431,train,10,7,10 1 2 1 10 9 8 7,8,606 2088 1006 957 1350 773 726 838,37 37 39 39 40 40 40 32,8344
A,159431,train,4,6,4 5 6,3,1501 706 1133,40 39 32,3340
A,159431,train,10,7,10 9 8 7,4,1133 1842 1019 783,40 40 40 32,4777
A,159431,train,4,6,4 5 6,3,1721 539 695,40 39 32,2955
A,159431,train,4,6,4 5 6,3,1527 523 1250,40 39 32,3300
A,159431,train,10,7,10 9 8 7,4,519 526 451 997,40 40 40 32,2493
A,159431,train,10,7,10 9 8 7,4,577 559 412 723,40 40 40 32,2271
A,159431,train,3,2,3 2,2,877 917,38 32,1794
A,159431,train,1,3,1 10 9 8 7 8 9 10 1 2 3,11,1483 1111 882 713 1114 848 444 590 465 693 971 1489 1695,39 39 40 40 40 38 38 38 38 37 37 40 32,12498
A,159431,train,1,3,1 2 3,3,1498 784 1198,37 40 32,3480
A,159431,train,2,7,2 1 10 1 2 3 4 5 4 3 2 3 4 5 6 7,16,1824 1233 1278 798 628 1782 609 872 721 990 1196 433 907 978 664 1334 825 1697,39 39 37 37 40 40 40 38 38 38 40 39 40 39 40 39 39 32,18769
A,159431,train,4,6,4 5 6,3,1409 479 672,40 39 32,2560
A,159431,train,2,4,2 1 10 1 2 3 4,7,3049 1891 1154 554 1710 638 1158 612 5886,39 39 37 37 37 40 40 18 32,16652
A,159431,train,1,3,1 10 9 8 7 8 9 10 1 2 3,11,1564 806 742 775 746 1005 493 660 650 1103 797 938,39 39 40 40 40 38 38 38 37 37 40 32,10279
A,159431,train,4,6,4 5 6,3,521 1683 801,40 39 32,3005
A,159431,train,4,6,4 5 6,3,1262 548 602,40 39 32,2412
A,159431,train,1,3,1 2 3,3,1587 656 880,37 40 32,3123
A,159431,train,10,7,10 9 8 7,4,528 350 629 615,40 40 40 32,2122
A,159431,train,1,3,1 2 3,3,2062 944 740,37 40 32,3746
A,159431,train,10,6,10 9 8 7 6,5,1728 921 725 1034 1178 1324,40 40 40 40 37 32,6910
A,159431,train,1,3,1 2 3,3,1563 658 623,37 40 32,2844
A,159431,train,7,6,7 6,2,573 1040 2395 1485,40 40 37 32,5493
A,159431,train,1,3,1 2 3,3,1397 617 916,37 40 32,2930
A,159431,train,4,6,4 5 6,3,12218 368 620,40 39 32,13206
A,159431,train,5,2,5 4 3 2,4,863 1153 613 972,38 38 38 32,3601
A,159431,train,1,3,1 2 3,3,1509 399 797,37 40 32,2705
A,159431,train,10,7,10 1 2 1 10 9 8 7,8,1573 1152 2461 885 800 669 453 761,37 37 39 39 40 40 40 32,8754
A,159431,train,10,7,10 9 8 7,4,2901 953 514 592,40 40 40 32,4960
A,159431,train,2,7,2 3 4 5 4 3 2 1 10 1 2 3 4 5 4 3 2 1 10 1 2 1 10 1 2 3 4 5 4 3 2 1 10 1 2 3 4 5 6 7,40,490 465 423 742 522 794 1984 461 987 617 595 591 744 611 1584 1083 1312 1533 824 1414 1011 388 1259 338 976 1485 582 1396 602 382 773 1272 1630 639 1460 873 1270 1138 1401 546 585 840 1718 870 1057,40 40 40 38 38 38 39 39 37 37 40 40 39 40 38 38 38 38 39 39 37 37 39 39 37 37 40 39 40 39 40 38 38 38 39 39 37 37 37 40 40 40 39 39 32,42267
A,159431,train,9,8,9 8,2,2230 1710,40 32,3940
A,159431,train,4,6,4 5 6,3,1791 632 684,40 39 32,3107
A,159431,train,10,7,10 9 8 7,4,2048 1467 786 1016,40 40 40 32,5317
A,159431,train,1,3,1 10 1 2 3,5,3505 1001 1381 587 731 1003,39 39 37 37 40 32,8208
A,159431,train,3,4,3 4,2,1078 742,40 32,1820
A,159431,train,10,7,10 9 8 7,4,774 1165 572 758,40 40 40 32,3269
A,159431,train,4,6,4 5 6,3,475 463 696,40 39 32,1634
A,159431,train,10,7,10 9 8 7,4,1514 812 665 779,40 40 40 32,3770
A,159431,train,10,7,10 9 8 7,4,3526 326 494 655,40 40 40 32,5001
A,159431,train,3,1,3 4 5 4 5 6 7 6 5 4 3 2 1,13,1622 885 723 590 1321 370 907 1038 762 746 1522 1330 1045 1106,40 40 40 38 40 39 39 37 37 38 38 38 39 32,13967
A,159431,train,10,7,10 9 8 7,4,118 398 437 567,40 40 40 32,1520
A,159431,train,1,3,1 2 3,3,496 385 830,37 40 32,1711
A,159431,train,2,10,2 1 10,3,889 856 589,39 39 32,2334
A,159431,train,10,7,10 9 8 7,4,5192 465 640 726,40 40 40 32,7023
A,159431,train,10,7,10 9 8 7,4,536 1701 627 617,40 40 40 32,3481
A,159431,train,5,8,5 6 7 8,4,685 1083 1021 995,39 39 38 32,3784
A,159431,train,1,3,1 2 3,3,1823 388 539,37 40 32,2750
A,159431,train,1,3,1 2 3,3,718 405 609 4698,37 40 18 32,6430
A,159431,train,7,8,7 8,2,446 589,38 32,1035
A,159431,train,10,7,10 9 8 7,4,584 358 491 722,40 40 40 32,2155
A,159431,train,4,6,4 5 6,3,1669 412 681,40 39 32,2762
A,159431,train,4,6,4 5 6,3,1516 421 692,40 39 32,2629
A,159431,train,4,6,4 5 6,3,5278 1985 599,40 39 32,7862
A,159431,train,8,7,8 7,2,1680 852,40 32,2532
A,159431,train,1,3,1 2 3,3,441 473 751,37 40 32,1665
A,159431,train,1,3,1 2 3,3,406 484 785,37 40 32,1675
A,159431,train,10,7,10 9 8 7,4,2053 520 402 724,40 40 40 32,3699
A,159431,train,6,3,6 7 8 9 10 9 8 7 6 5 4 3,12,1824 2569 728 706 1480 435 441 1015 556 1886 616 1189,39 38 38 38 40 40 40 37 37 38 38 32,13445
A,159431,train,9,7,9 8 7,3,432 403 1211,40 40 32,2046
A,159431,train,4,6,4 5 6,3,482 357 653,40 39 32,1492
A,159431,train,10,7,10 9 8 7,4,349 347 379 684,40 40 40 32,1759
A,159431,train,4,6,4 5 6,3,464 452 795,40 39 32,1711
A,159431,train,4,6,4 5 6,3,437 488 689,40 39 32,1614
A,159431,train,1,3,1 2 3,3,531 351 746,37 40 32,1628
A,159431,train,10,7,10 9 8 7,4,1354 294 329 610,40 40 40 32,2587
A,159431,train,6,2,6 5 4 3 2,5,840 1220 702 522 671,37 38 38 38 32,3955
A,159431,test,7,2,7 8,2,1609,38,1609
A,159431,test,3,8,3 4,2,1436,40,1436
A,159431,test,6,1,6 7,2,1620,39,1620
