group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, reward, timestamp, datetime
A,149292,train,8,-1,8 9 10 1,4,6912 317 680 472,40 40 39 32,8381,166,1552343508.02,Mon Mar 11 2019 18:31:48 GMT-0400 (Eastern Daylight Time)
A,149292,train,5,8,5 4 3 2 1 10 9 8,8,3022 736 344 1280 216 712 224 392,40 40 40 37 37 38 38 32,6926,108,1552343516.453,Mon Mar 11 2019 18:31:56 GMT-0400 (Eastern Daylight Time)
A,149292,train,5,-1,5 4 3,3,3001 350 944,40 40 32,4295,166,1552343522.252,Mon Mar 11 2019 18:32:02 GMT-0400 (Eastern Daylight Time)
A,149292,train,3,-1,3,1,4399,32,4399,166,1552343528.156,Mon Mar 11 2019 18:32:08 GMT-0400 (Eastern Daylight Time)
A,149292,train,2,-1,2,1,4753,32,4753,166,1552343534.414,Mon Mar 11 2019 18:32:14 GMT-0400 (Eastern Daylight Time)
