group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, reward, timestamp, datetime
A,100365,train,7,-1,7 6 7 8 9 10 1 2 3 4 5 6 5 4 3 2 1 10 9 10 1,21,4379 439 311 2093 181 203 276 151 184 217 167 288 121 135 139 478 183 208 137 160 130 165 144 145 128 287 248 168 425 173 146 184 537 202 205 281 352 184 328 220 682 1272 306 808 1935,107 107 107 38 38 39 37 39 38 40 37 37 37 37 40 40 37 37 37 37 38 38 38 38 38 39 40 37 37 37 40 40 40 39 39 38 37 40 40 37 13 107 107 17 32,20105,62,1552343218.476,Mon Mar 11 2019 15:26:58 GMT-0700 (Pacific Daylight Time)
A,100365,train,8,-1,8 9 8,3,3001 440 309,40 38 32,3750,165,1552343223.769,Mon Mar 11 2019 15:27:03 GMT-0700 (Pacific Daylight Time)
A,100365,train,2,-1,2 1,2,-1154 735,39 32,-419,62,1552343224.878,Mon Mar 11 2019 15:27:04 GMT-0700 (Pacific Daylight Time)
A,100365,train,10,1,10 9 10 1 2 3 4 5 6 7 8 9 10 1,14,522 575 487 1097 456 217 431 439 665 343 602 316 428 276 283 221 446 170 427 206 294 282 281 222,39 38 32 40 37 37 38 32 38 32 38 32 39 32 39 32 40 32 40 32 40 32 37 32,9686,62,1552343236.083,Mon Mar 11 2019 15:27:16 GMT-0700 (Pacific Daylight Time)
A,100365,train,4,-1,4,1,1137,32,1137,197,1552343238.733,Mon Mar 11 2019 15:27:18 GMT-0700 (Pacific Daylight Time)
A,100365,train,10,-1,10 9 8 7 6,5,1246 302 273 431 334,38 38 38 37 32,2586,197,1552343242.829,Mon Mar 11 2019 15:27:22 GMT-0700 (Pacific Daylight Time)
A,100365,train,7,-1,7,1,1502,32,1502,165,1552343245.848,Mon Mar 11 2019 15:27:25 GMT-0700 (Pacific Daylight Time)
A,100365,train,7,10,7 8 7 8 9 10,6,539 365 1003 966 232 289 365,40 32 38 40 40 40 32,3759,165,1552343251.139,Mon Mar 11 2019 15:27:31 GMT-0700 (Pacific Daylight Time)
A,100365,train,1,-1,1 2,2,555 509,37 32,1064,62,1552343253.725,Mon Mar 11 2019 15:27:33 GMT-0700 (Pacific Daylight Time)
A,100365,train,10,6,10 1 10 1 2 1 10 9 8 7 6,11,971 741 183 468 368 219 184 276 314 374 248 391 358 240 424 148 182 168 139 341 166,32 32 39 39 39 37 39 39 37 37 32 39 32 39 32 38 38 38 38 37 32,6903,197,1552343262.155,Mon Mar 11 2019 15:27:42 GMT-0700 (Pacific Daylight Time)
A,100365,train,2,10,2 1 10,3,711 240 352 341,39 40 39 32,1644,165,1552343265.308,Mon Mar 11 2019 15:27:45 GMT-0700 (Pacific Daylight Time)
A,100365,train,2,3,2 3 2 3,4,731 581 176 412 368 213 414,37 38 39 40 37 38 32,2895,62,1552343269.724,Mon Mar 11 2019 15:27:49 GMT-0700 (Pacific Daylight Time)
A,100365,train,4,10,4 3 2 1 10,5,869 269 256 201 183 329 281 160,39 37 40 40 40 39 39 32,2548,165,1552343273.79,Mon Mar 11 2019 15:27:53 GMT-0700 (Pacific Daylight Time)
A,100365,train,5,-1,5,1,1274,32,1274,157,1552343276.588,Mon Mar 11 2019 15:27:56 GMT-0700 (Pacific Daylight Time)
