group, subj_id, stage, trial, start, goal, path, length, RTs, keys, valid_keys, RT_tot, timestamp, datetime
A,198616,test,114,10,7,10 9 8 7,4,314 168 200 232,40 40 40 32,1 2 3,914,1551388893.382,Thu Feb 28 2019 16:21:33 GMT-0500 (Eastern Standard Time)
A,198616,test,115,4,6,4 5 6,3,427 279 344,40 37 32,1 2,1050,1551388900.438,Thu Feb 28 2019 16:21:40 GMT-0500 (Eastern Standard Time)
A,198616,test,116,4,6,4 5 6,3,498 264 352,40 37 32,1 2,1114,1551388907.558,Thu Feb 28 2019 16:21:47 GMT-0500 (Eastern Standard Time)
A,198616,test,117,1,3,1 2 3,3,426 1120 491 512,40 39 40 32,2 3,2549,1551388916.112,Thu Feb 28 2019 16:21:56 GMT-0500 (Eastern Standard Time)
A,198616,test,118,10,7,10 9 8 7,4,698 1840 352 264,40 40 40 32,1 2 3,3154,1551388925.273,Thu Feb 28 2019 16:22:05 GMT-0500 (Eastern Standard Time)
A,198616,test,119,1,3,1 2 3,3,2634 599 1072,39 40 32,1 2,4305,1551388935.584,Thu Feb 28 2019 16:22:15 GMT-0500 (Eastern Standard Time)
A,198616,test,120,1,3,1 2 3,3,530 296 800,39 40 32,1 2,1626,1551388943.215,Thu Feb 28 2019 16:22:23 GMT-0500 (Eastern Standard Time)
A,198616,test,121,4,6,4 5 6,3,689 271 632,40 37 32,1 2,1592,1551388950.815,Thu Feb 28 2019 16:22:30 GMT-0500 (Eastern Standard Time)
A,198616,test,122,4,6,4 5 6,3,265 256 1056,40 37 32,1 2,1577,1551388958.398,Thu Feb 28 2019 16:22:38 GMT-0500 (Eastern Standard Time)
A,198616,test,123,4,6,4 5 6,3,690 568 743,40 37 32,1 2,2001,1551388966.406,Thu Feb 28 2019 16:22:46 GMT-0500 (Eastern Standard Time)
A,198616,test,124,10,7,10 9 8 7,4,354 143 152 425,40 40 40 32,1 2 3,1074,1551388973.486,Thu Feb 28 2019 16:22:53 GMT-0500 (Eastern Standard Time)
A,198616,test,125,4,6,4 5 6,3,927 184 344,40 37 32,1 2,1455,1551388980.952,Thu Feb 28 2019 16:23:00 GMT-0500 (Eastern Standard Time)
A,198616,test,126,4,6,4 5 6,3,610 184 360,40 37 32,1 2,1154,1551388988.112,Thu Feb 28 2019 16:23:08 GMT-0500 (Eastern Standard Time)
A,198616,test,127,4,6,4 5 6,3,1081 168 360,40 37 32,1 2,1609,1551388995.728,Thu Feb 28 2019 16:23:15 GMT-0500 (Eastern Standard Time)
A,198616,test,128,10,7,10 9 8 7,4,314 152 168 560,40 40 40 32,1 2 3,1194,1551389002.927,Thu Feb 28 2019 16:23:22 GMT-0500 (Eastern Standard Time)
A,198616,test,129,1,3,1 2 3,3,1857 192 432,39 40 32,1 2,2481,1551389011.415,Thu Feb 28 2019 16:23:31 GMT-0500 (Eastern Standard Time)
A,198616,test,130,1,3,1 2 3,3,1610 240 648,39 40 32,1 2,2498,1551389019.918,Thu Feb 28 2019 16:23:39 GMT-0500 (Eastern Standard Time)
A,198616,test,131,4,6,4 5 6,3,482 176 400,40 37 32,1 2,1058,1551389026.982,Thu Feb 28 2019 16:23:46 GMT-0500 (Eastern Standard Time)
A,198616,test,132,10,7,10 9 8 7,4,473 167 200 384,40 40 40 32,1 2 3,1224,1551389034.213,Thu Feb 28 2019 16:23:54 GMT-0500 (Eastern Standard Time)
A,198616,test,133,1,3,1 2 3,3,619 184 337,39 40 32,1 2,1140,1551389041.361,Thu Feb 28 2019 16:24:01 GMT-0500 (Eastern Standard Time)
A,198616,test,134,4,6,4 5 6,3,2625 744 320,40 37 32,1 2,3689,1551389051.056,Thu Feb 28 2019 16:24:11 GMT-0500 (Eastern Standard Time)
A,198616,test,135,1,3,1 2 3,3,1033 192 1008,39 40 32,1 2,2233,1551389059.295,Thu Feb 28 2019 16:24:19 GMT-0500 (Eastern Standard Time)
A,198616,test,136,4,6,4 5 6,3,498 176 528,40 37 32,1 2,1202,1551389066.503,Thu Feb 28 2019 16:24:26 GMT-0500 (Eastern Standard Time)
A,198616,test,137,1,3,1 2 3,3,1080 176 584,39 40 32,1 2,1840,1551389074.351,Thu Feb 28 2019 16:24:34 GMT-0500 (Eastern Standard Time)
A,198616,test,138,1,3,1 2 3,3,768 192 496,39 40 32,1 2,1456,1551389081.814,Thu Feb 28 2019 16:24:41 GMT-0500 (Eastern Standard Time)
A,198616,test,139,1,3,1 2 3,3,666 280 552,39 40 32,1 2,1498,1551389089.318,Thu Feb 28 2019 16:24:49 GMT-0500 (Eastern Standard Time)
A,198616,test,140,4,6,4 5 6,3,386 159 360,40 37 32,1 2,905,1551389096.23,Thu Feb 28 2019 16:24:56 GMT-0500 (Eastern Standard Time)
A,198616,test,141,1,3,1 2 3,3,881 176 393,39 40 32,1 2,1450,1551389103.689,Thu Feb 28 2019 16:25:03 GMT-0500 (Eastern Standard Time)
A,198616,test,142,4,6,4 5 6,3,391 224 624,40 37 32,1 2,1239,1551389110.936,Thu Feb 28 2019 16:25:10 GMT-0500 (Eastern Standard Time)
A,198616,test,143,6,1,6 5 4 3 2 1,6,810 528 416 368 594 990,39 38 38 38 37 32,1 2 3 4 5,3706,1551389120.648,Thu Feb 28 2019 16:25:20 GMT-0500 (Eastern Standard Time)
