group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot
A,174414,train,1,3,1 10 9 10 1 2 3,7,2350 2426 1621 967 1193 888 3826,37 40 38 39 39 40 32,13271
A,174414,train,10,7,10 9 8 7,4,285 1204 709 540,40 40 40 32,2738
A,174414,train,1,3,1 2 3,3,478 551 382,39 40 32,1411
A,174414,train,4,6,4 3 2 1 10 9 8 9 10 9 8 7 6,13,397 1385 988 957 1237 1823 1024 595 1384 337 530 528 428 576,38 38 37 37 40 40 38 38 40 40 40 40 39 32,12189
A,174414,train,4,6,4 3 2 1 10 9 8 7 6,9,374 2486 1205 1394 1102 529 664 495 686,38 38 37 37 40 40 40 39 32,8935
A,174414,train,4,6,4 5 6,3,336 1460 440,40 37 32,2236
A,174414,train,1,3,1 2 3,3,430 833 315,39 40 32,1578
A,174414,train,10,7,10 9 8 7,4,407 483 608 247,40 40 40 32,1745
A,174414,train,4,6,4 5 6,3,388 168 416 180 338,40 40 40 37 32,1490
A,174414,train,1,3,1 2 3,3,489 551 304,39 40 32,1344
