group, subj_id, stage, trial, start, goal, path, length, RTs, keys, valid_keys, RT_tot, timestamp, datetime
A,119670,train,1,1,9,1 10 9,3,579 816 2983,39 38 32,1 2,4378,1551457496.717,Fri Mar 01 2019 11:24:56 GMT-0500 (Eastern Standard Time)
A,119670,train,2,9,3,9 8 7 6 5 6 7 8 9 10 1 2 3,13,412 481 456 320 441 488 335 167 176 560 321 377 495 304 488 672 775,38 38 38 37 37 37 39 39 39 40 40 40 40 37 37 38 32,1 2 4 5 7 8 10 11 12 14 15 16,7268,1551457509.997,Fri Mar 01 2019 11:25:09 GMT-0500 (Eastern Standard Time)
A,119670,train,3,7,10,7 8 7 6 5 6 7 8 9 10,10,375 815 224 385 535 384 191 225 448 616 392 487 321 433,40 38 37 37 37 39 39 39 38 40 40 40 40 32,1 2 3 4 6 7 10 11 12,5831,1551457521.838,Fri Mar 01 2019 11:25:21 GMT-0500 (Eastern Standard Time)
A,119670,train,4,2,3,2 1 10 9 8 7 6 5 4 3,10,967 953 311 367 192 216 352 393 279 393 273 382 280 257 880,39 39 39 38 38 38 38 37 38 37 38 37 40 40 32,1 2 4 5 6 8 10 13 14,6495,1551457534.342,Fri Mar 01 2019 11:25:34 GMT-0500 (Eastern Standard Time)
