group, subj_id, stage, trial, start, goal, path, length, RTs, keys, valid_keys, RT_tot, timestamp, datetime
A,1177973394257,train,1,7,8,7 6 5 4 3 4 5 6 7 6 5 4 3 2 1 10 9 8,18,642 1104 892 624 800 480 625 975 672 656 640 1056 608 880 544 464 1088 864 2161 1631 656 1232,37 37 38 38 37 40 40 39 39 39 37 37 37 38 38 38 38 39 39 40 40 32,1 2 3 4 6 7 8 9 11 12 14 15 16 18 19 20 21,19294,1551556549.222,Sat Mar 02 2019 14:55:49 GMT-0500 (Eastern Standard Time)
A,1177973394257,train,2,6,5,6 7 6 7 8 7 8 9 10 1 2 3 4 5,14,1855 672 800 1056 608 1616 1056 464 976 1072 1184 640 1184 832 496 1072,39 39 37 39 38 40 40 38 38 38 37 37 40 40 40 32,1 3 4 5 6 8 9 10 11 12 13 14 15,15583,1551556570.839,Sat Mar 02 2019 14:56:10 GMT-0500 (Eastern Standard Time)
A,1177973394257,train,3,7,10,7 8 7 8 9 10 1 10,8,1641 1088 768 544 704 624 1151 1089 2192 1792,38 37 40 40 38 38 38 37 39 32,1 3 5 6 7 8 9,11593,1551556588.454,Sat Mar 02 2019 14:56:28 GMT-0500 (Eastern Standard Time)
A,1177973394257,train,4,2,3,2 1 2 3,4,3149 1615 1792 1920,39 37 40 32,1 2 3,8476,1551556602.986,Sat Mar 02 2019 14:56:42 GMT-0500 (Eastern Standard Time)
A,1177973394257,train,5,2,3,2 1 2 1 2 3,6,948 1456 2816 1920 1056 1088,39 37 39 37 40 32,1 2 3 4 5,9284,1551556618.297,Sat Mar 02 2019 14:56:58 GMT-0500 (Eastern Standard Time)
