A,171889,test,4,4,6,4 5 6,3,1509 509 383 787,40 40 37 32,1 3,3188,1551499478.057,Fri Mar 01 2019 23:04:38 GMT-0500 (Eastern Standard Time)
A,171889,test,5,4,6,4 5 6,3,1539 411 637,40 37 32,1 2,2587,1551499486.65,Fri Mar 01 2019 23:04:46 GMT-0500 (Eastern Standard Time)
A,171889,test,6,4,6,4 5 6,3,777 341 657,40 37 32,1 2,1775,1551499494.431,Fri Mar 01 2019 23:04:54 GMT-0500 (Eastern Standard Time)
A,171889,test,7,4,6,4 5 6,3,8788 749 582,40 37 32,1 2,10119,1551499510.556,Fri Mar 01 2019 23:05:10 GMT-0500 (Eastern Standard Time)
A,171889,test,8,10,7,10 9 8 7,4,3853 2475 370 932,40 40 40 32,1 2 3,7630,1551499524.193,Fri Mar 01 2019 23:05:24 GMT-0500 (Eastern Standard Time)
A,171889,test,9,1,3,1 10 9 8 7 8 9 10 9 8 7 6 5 6 5 6 5 4 3,19,1368 1190 650 340 396 747 243 202 340 511 233 202 190 169 1143 272 679 490 646 284 479 660 524 582,40 37 40 40 40 38 38 38 38 38 40 40 40 40 39 39 39 37 39 37 39 38 38 32,2 3 4 5 6 7 8 11 12 13 15 16 18 19 20 21 22 23,12540,1551499542.739,Fri Mar 01 2019 23:05:42 GMT-0500 (Eastern Standard Time)
A,171889,test,10,4,6,4 5 6 7 6,5,92 428 381 311 581 380,40 40 37 37 39 32,1 3 4 5,2173,1551499550.918,Fri Mar 01 2019 23:05:50 GMT-0500 (Eastern Standard Time)
A,171889,test,11,4,6,4 5 6,3,506 447 502,40 37 32,1 2,1455,1551499558.378,Fri Mar 01 2019 23:05:58 GMT-0500 (Eastern Standard Time)
A,171889,test,12,4,6,4 5 6,3,267 288 541,40 37 32,1 2,1096,1551499565.482,Fri Mar 01 2019 23:06:05 GMT-0500 (Eastern Standard Time)
A,171889,test,13,1,3,1 10 9 8 7 6 5 4 3,9,850 950 398 738 367 397 1407 566 710 525 573,38 37 37 40 40 40 39 39 38 38 32,2 4 5 6 7 8 9 10,7481,1551499578.971,Fri Mar 01 2019 23:06:18 GMT-0500 (Eastern Standard Time)
A,171889,test,14,4,6,4 5 6,3,1006 196 606,40 37 32,1 2,1808,1551499586.784,Fri Mar 01 2019 23:06:26 GMT-0500 (Eastern Standard Time)
A,171889,test,15,1,3,1 10 9 8 7 6 5 4 3,9,956 1352 458 427 990 542 519 502 338 610,37 40 40 40 39 39 39 38 38 32,1 2 3 4 5 6 8 9,6694,1551499599.482,Fri Mar 01 2019 23:06:39 GMT-0500 (Eastern Standard Time)
A,171889,test,16,1,3,1 2 1 10 9 8 7 8 9 10 1 2 3 4 3,15,778 4 526 282 675 442 352 361 453 573 174 400 668 590 405 754 329 347 398,38 39 37 37 40 40 40 40 38 38 38 38 39 39 39 40 40 38 32,2 3 4 5 6 7 9 10 11 13 14 16 17 18,8511,1551499614,Fri Mar 01 2019 23:06:54 GMT-0500 (Eastern Standard Time)
A,171889,test,17,1,3,1 2 3,3,1060 317 420 745,39 39 40 32,1 3,2542,1551499622.548,Fri Mar 01 2019 23:07:02 GMT-0500 (Eastern Standard Time)
