group, subj_id, stage, trial, start, goal, path, length, RTs, keys, valid_keys, RT_tot, timestamp, datetime
A,149430,train,1,10,7,10 9 10 9 8 7 6 5 4 3 2 1 10 9 8 7 6 5 6 7 8 7,22,7489 1471 439 2396 2234 540 743 1962 557 507 1425 4091 770 819 1250 597 3049 4337 1279 2416 1357 1573 385 291 1549 695 583 830 1776 751 1490,38 40 40 39 38 38 38 37 37 37 40 40 40 40 39 39 38 38 38 37 37 37 37 37 39 39 39 40 39 38 32,1 2 5 6 7 8 9 11 12 13 15 16 17 18 19 20 21 25 26 28 30,49651,1551492464.156,Fri Mar 01 2019 18:07:44 GMT-0800 (Pacific Standard Time)
A,149430,train,2,9,7,9 8 7,3,1510 1105 1765,38 38 32,1 2,4380,1551492474.573,Fri Mar 01 2019 18:07:54 GMT-0800 (Pacific Standard Time)
A,149430,train,3,9,4,9 8 7 8 9 10 1 2 3 4,10,704 1208 3170 424 556 568 822 594 883 525 1706,38 38 40 40 40 40 37 37 38 38 32,1 2 3 4 5 7 8 9 10,11160,1551492491.755,Fri Mar 01 2019 18:08:11 GMT-0800 (Pacific Standard Time)
A,149430,train,4,2,7,2 3 4 5 6 7,6,1006 827 898 1222 445 981,38 38 38 39 39 32,1 2 3 4 5,5379,1551492503.185,Fri Mar 01 2019 18:08:23 GMT-0800 (Pacific Standard Time)
A,149430,train,5,6,7,6 5 4 3 2 1 10 9 8 7,10,2727 743 680 664 809 479 1125 510 448 319 453 455 527 1457,37 37 40 40 40 40 39 39 39 39 38 38 38 32,1 3 4 5 7 8 11 12 13,11396,1551492520.63,Fri Mar 01 2019 18:08:40 GMT-0800 (Pacific Standard Time)
A,149430,train,6,1,9,1 2 1 10 9,5,533 451 1155 317 1011 1106 939,37 37 39 39 39 38 32,1 3 4 6,5512,1551492532.193,Fri Mar 01 2019 18:08:52 GMT-0800 (Pacific Standard Time)
A,149430,train,7,2,3,2 3,2,1119 965,38 32,1,2084,1551492540.342,Fri Mar 01 2019 18:09:00 GMT-0800 (Pacific Standard Time)
A,149430,train,8,2,3,2 1 10 9 8 7 6 5 4 3,10,874 496 1107 440 691 439 760 426 442 960 587 1018,39 39 38 38 38 38 37 37 37 40 40 32,1 2 3 4 5 7 8 10 11,8240,1551492554.636,Fri Mar 01 2019 18:09:14 GMT-0800 (Pacific Standard Time)
A,149430,train,9,9,8,9 8,2,555 773,38 32,1,1328,1551492562.006,Fri Mar 01 2019 18:09:22 GMT-0800 (Pacific Standard Time)
A,149430,train,10,9,2,9 8 7 6 5 4 3 2,8,674 479 933 443 866 467 439 858,38 38 37 37 40 40 40 32,1 2 3 4 5 6 7,5159,1551492573.216,Fri Mar 01 2019 18:09:33 GMT-0800 (Pacific Standard Time)
A,149430,train,11,6,7,6 5 6 7,4,500 481 1369 425 1050,37 37 39 39 32,1 3 4,3825,1551492583.09,Fri Mar 01 2019 18:09:43 GMT-0800 (Pacific Standard Time)
A,149430,train,12,10,4,10 1 2 3 4,5,4169 509 675 586 464 1120,37 37 37 38 38 32,1 2 4 5,7523,1551492596.667,Fri Mar 01 2019 18:09:56 GMT-0800 (Pacific Standard Time)
A,149430,train,13,10,4,10 1 2 1 10 9 8 7 8 9 10 1 2 3 4,15,449 750 1457 412 432 442 426 439 1135 429 415 816 386 406 671 665 1520 1115,37 37 39 39 39 38 38 38 40 40 40 37 37 37 40 38 38 32,1 2 3 4 6 7 8 9 10 11 12 13 16 17,12365,1551492615.087,Fri Mar 01 2019 18:10:15 GMT-0800 (Pacific Standard Time)
A,149430,train,14,9,3,9 8 7 6 5 4 3,7,726 573 797 1543 479 575 555 592 959,38 38 38 37 37 37 40 40 32,1 2 4 5 7 8,6799,1551492627.931,Fri Mar 01 2019 18:10:27 GMT-0800 (Pacific Standard Time)
A,149430,train,15,8,9,8 9,2,496 852,40 32,1,1348,1551492635.337,Fri Mar 01 2019 18:10:35 GMT-0800 (Pacific Standard Time)
A,149430,train,16,7,3,7 8 9 10 1 2 1 10 9 8 7 8 9 10 1 2 3,17,982 485 773 1754 525 1548 345 511 683 456 454 1026 383 461 1261 748 449 679 738 971,40 40 40 37 37 39 39 39 38 38 38 40 40 40 40 37 37 37 38 32,1 2 3 4 5 6 7 9 10 11 12 13 14 16 17 19,15232,1551492656.592,Fri Mar 01 2019 18:10:56 GMT-0800 (Pacific Standard Time)
A,149430,train,17,10,7,10 1 2 3 4 5 6 7,8,1539 535 933 401 551 518 624 423 875,37 37 38 38 38 38 39 39 32,1 2 3 4 5 7 8,6399,1551492669.029,Fri Mar 01 2019 18:11:09 GMT-0800 (Pacific Standard Time)
A,149430,train,18,10,7,10 9 8 7,4,1300 694 850 970,38 38 38 32,1 2 3,3814,1551492678.888,Fri Mar 01 2019 18:11:18 GMT-0800 (Pacific Standard Time)
A,149430,train,19,2,3,2 1 10 9 8 7 6 5 6 7 8 9 10 9 8 7 6 7 8 9 10 1 2 1 10 9 8 7 8 9 10 1 2 3,34,509 556 1450 484 475 1054 393 474 956 526 1003 475 456 701 826 384 453 843 1168 910 609 499 420 419 525 715 383 489 1209 419 813 409 479 413 487 3478 1074 680 722 640 403 1142 1059,39 39 38 38 38 37 37 37 39 39 40 40 40 40 38 38 38 37 39 39 38 40 40 40 40 37 37 37 39 39 39 38 38 38 38 40 40 40 40 37 37 38 32,1 2 3 4 5 6 7 9 10 11 12 13 15 16 17 18 19 22 23 24 26 27 29 30 32 33 34 36 37 38 40 41 42,31582,1551492716.532,Fri Mar 01 2019 18:11:56 GMT-0800 (Pacific Standard Time)
A,149430,train,20,1,7,1 2 3 4 5 6 7,7,2158 666 429 1173 814 4216 496 1077,37 37 38 38 38 39 39 32,1 3 4 5 6 7,11029,1551492733.598,Fri Mar 01 2019 18:12:13 GMT-0800 (Pacific Standard Time)
A,149430,train,21,4,5,4 3 2 1 10 9 8 7 6 5,10,489 490 899 483 663 471 415 762 394 1090,40 40 39 39 38 38 38 37 37 32,1 2 3 4 5 6 7 8 9,6156,1551492745.799,Fri Mar 01 2019 18:12:25 GMT-0800 (Pacific Standard Time)
A,149430,train,22,2,3,2 1 10 9 8 7 6 5 4 3,10,587 691 794 541 458 1659 480 787 489 463 893,39 39 38 38 38 37 37 37 40 40 32,1 2 3 4 5 6 7 9 10,7842,1551492759.688,Fri Mar 01 2019 18:12:39 GMT-0800 (Pacific Standard Time)
A,149430,train,23,10,7,10 1 10 9 8 7,6,1591 2318 674 677 891 525 1011,37 39 39 38 38 38 32,1 2 4 5 6,7687,1551492773.421,Fri Mar 01 2019 18:12:53 GMT-0800 (Pacific Standard Time)
