A,164799,test,85,1,3,1 2 3,3,661 50 170,39 38 32,1 2,881,1551499376.726,Fri Mar 01 2019 23:02:56 GMT-0500 (Eastern Standard Time)
A,164799,test,86,4,6,4 5 6,3,341 77 115,38 37 32,1 2,533,1551499383.266,Fri Mar 01 2019 23:03:03 GMT-0500 (Eastern Standard Time)
A,164799,test,87,4,6,4 5 6,3,619 74 124,38 37 32,1 2,817,1551499390.091,Fri Mar 01 2019 23:03:10 GMT-0500 (Eastern Standard Time)
A,164799,test,88,4,6,4 5 6,3,6853 64 99,38 37 32,1 2,7016,1551499403.113,Fri Mar 01 2019 23:03:23 GMT-0500 (Eastern Standard Time)
A,164799,test,89,10,7,10 9 8 7,4,568 136 113 130 108 57,38 38 38 38 38 32,1 2 3,1112,1551499410.232,Fri Mar 01 2019 23:03:30 GMT-0500 (Eastern Standard Time)
A,164799,test,90,1,3,1 2 3,3,1035 89 201,39 38 32,1 2,1325,1551499417.562,Fri Mar 01 2019 23:03:37 GMT-0500 (Eastern Standard Time)
A,164799,test,91,8,5,8 7 6 5 4 5,6,1633 168 138 430 251 147 83 350 151,38 38 38 39 39 39 40 38 32,1 4 5 7 8,3351,1551499426.919,Fri Mar 01 2019 23:03:46 GMT-0500 (Eastern Standard Time)
A,164799,test,92,1,3,1 2 3,3,3808 155 116 236 155 231 660 319,39 39 39 40 40 40 38 32,1 7,5680,1551499438.605,Fri Mar 01 2019 23:03:58 GMT-0500 (Eastern Standard Time)
A,164799,test,93,4,6,4 5 6,3,100 358 111,38 37 32,1 2,569,1551499445.181,Fri Mar 01 2019 23:04:05 GMT-0500 (Eastern Standard Time)
A,164799,test,94,6,1,6 7 8 9 10 1,6,466 149 48 178 121 116 126 136 320,37 37 40 40 40 40 40 39 32,1 3 4 5 8,1660,1551499452.846,Fri Mar 01 2019 23:04:12 GMT-0500 (Eastern Standard Time)
A,164799,test,95,10,7,10 9 8 7,4,611 222 186 112 130 122 124,38 38 38 38 38 38 32,1 2 3,1507,1551499460.359,Fri Mar 01 2019 23:04:20 GMT-0500 (Eastern Standard Time)
A,164799,test,96,1,3,1 2 3,3,302 59 145,39 38 32,1 2,506,1551499466.872,Fri Mar 01 2019 23:04:26 GMT-0500 (Eastern Standard Time)
A,164799,test,97,7,6,7 6,2,1608 241,39 32,1,1849,1551499474.728,Fri Mar 01 2019 23:04:34 GMT-0500 (Eastern Standard Time)
A,164799,test,98,4,6,4 5 6,3,431 48 429,38 37 32,1 2,908,1551499481.642,Fri Mar 01 2019 23:04:41 GMT-0500 (Eastern Standard Time)
A,164799,test,99,10,6,10 9 8 7 6,5,3578 129 127 96 121 149,38 38 38 38 39 32,1 2 3 5,4200,1551499491.848,Fri Mar 01 2019 23:04:51 GMT-0500 (Eastern Standard Time)
A,164799,test,100,1,3,1 2 3,3,325 51 205 176 416 225 241,39 40 40 32 39 38 32,1 6,1639,1551499499.494,Fri Mar 01 2019 23:04:59 GMT-0500 (Eastern Standard Time)
A,164799,test,101,1,3,1 2 3 4 3,5,5854 179 297 357 80,39 38 38 40 32,1 2 3 4,6767,1551499512.267,Fri Mar 01 2019 23:05:12 GMT-0500 (Eastern Standard Time)
A,164799,test,102,1,6,1 10 9 8 7 6,6,2439 240 140 121 113 184 84,37 38 38 38 38 39 32,1 2 3 4 6,3321,1551499521.593,Fri Mar 01 2019 23:05:21 GMT-0500 (Eastern Standard Time)
A,164799,test,103,4,6,4 5 6,3,1118 80 204,38 37 32,1 2,1402,1551499529.002,Fri Mar 01 2019 23:05:29 GMT-0500 (Eastern Standard Time)
A,164799,test,104,4,6,4 5 6,3,333 61 115,38 37 32,1 2,509,1551499535.519,Fri Mar 01 2019 23:05:35 GMT-0500 (Eastern Standard Time)
A,164799,test,105,3,7,3 4 5 6 7,5,6231 121 313 79 173 244,38 38 38 37 37 32,1 2 4 5,7161,1551499548.687,Fri Mar 01 2019 23:05:48 GMT-0500 (Eastern Standard Time)
A,164799,test,106,4,6,4 5 6,3,1394 152 51 120,38 38 37 32,1 3,1717,1551499556.413,Fri Mar 01 2019 23:05:56 GMT-0500 (Eastern Standard Time)
A,164799,test,107,1,3,1 2 3,3,586 92 158,39 38 32,1 2,836,1551499563.254,Fri Mar 01 2019 23:06:03 GMT-0500 (Eastern Standard Time)
A,164799,test,108,10,7,10 9 8 7,4,2598 114 128 126 104 176,38 38 38 38 38 32,1 2 3,3246,1551499572.506,Fri Mar 01 2019 23:06:12 GMT-0500 (Eastern Standard Time)
A,164799,test,109,1,3,1 2 3,3,11375 153 91 325 92,39 39 40 38 32,1 4,12036,1551499590.548,Fri Mar 01 2019 23:06:30 GMT-0500 (Eastern Standard Time)
A,164799,test,110,1,3,1 2 3,3,949 71 127,39 38 32,1 2,1147,1551499597.701,Fri Mar 01 2019 23:06:37 GMT-0500 (Eastern Standard Time)
A,164799,test,111,10,7,10 9 8 7,4,79 116 118 110 126 573,38 38 38 38 38 32,1 2 3,1122,1551499604.83,Fri Mar 01 2019 23:06:44 GMT-0500 (Eastern Standard Time)
A,164799,test,112,1,4,1 2 3 4,4,251 22 347 520,39 38 38 32,1 2 3,1140,1551499611.976,Fri Mar 01 2019 23:06:51 GMT-0500 (Eastern Standard Time)
A,164799,test,113,4,6,4 5 6,3,1675 146 118 523 289,38 38 38 37 32,1 4,2751,1551499620.732,Fri Mar 01 2019 23:07:00 GMT-0500 (Eastern Standard Time)
