group, subj_id, stage, trial, start, goal, path, length, RTs, keys, valid_keys, RT_tot, timestamp, datetime
A,195977,train,1,5,8,5 4 3 2 1 10 9 8,8,836 2257 1588 999 917 1020 495 5530,38 38 38 37 37 40 40 32,1 2 3 4 5 6 7,13642,1551487665.469,Fri Mar 01 2019 19:47:45 GMT-0500 (Eastern Standard Time)
A,195977,train,2,8,10,8 7 6 5 4 3 2 1 10,9,623 1682 1030 1161 1919 489 713 815 766,40 39 39 38 38 38 37 37 32,1 2 3 4 5 6 7 8,9198,1551487680.679,Fri Mar 01 2019 19:48:00 GMT-0500 (Eastern Standard Time)
A,195977,train,3,2,3,2 3,2,624 774,40 32,1,1398,1551487688.089,Fri Mar 01 2019 19:48:08 GMT-0500 (Eastern Standard Time)
A,195977,train,4,9,5,9 8 9 10 1 10 9 8 7 6 7 8 7 6 5,15,727 714 752 566 1053 701 656 181 620 820 1055 443 609 367 924 397 354 729,40 38 37 38 39 37 40 40 40 39 37 37 40 38 40 39 39 32,1 2 4 5 6 7 8 9 10 11 14 15 16 17,11668,1551487705.764,Fri Mar 01 2019 19:48:25 GMT-0500 (Eastern Standard Time)
A,195977,train,5,2,3,2 3,2,342 528,40 32,1,870,1551487712.646,Fri Mar 01 2019 19:48:32 GMT-0500 (Eastern Standard Time)
A,195977,train,6,9,10,9 8 7 6 5 6 7 6 5 6 7 8 9 10,14,460 741 388 679 506 1285 391 288 6684 2123 1097 458 318 646 441 516 743,40 39 40 39 39 39 37 37 39 39 39 37 37 38 38 38 32,1 3 4 5 7 8 9 10 12 13 14 15 16,17764,1551487736.42,Fri Mar 01 2019 19:48:56 GMT-0500 (Eastern Standard Time)
A,195977,train,7,5,8,5 4 3 2 1 10 9 8,8,544 853 728 779 451 797 460 592 630,38 38 38 37 37 38 40 40 32,1 2 3 4 5 7 8,5834,1551487748.265,Fri Mar 01 2019 19:49:08 GMT-0500 (Eastern Standard Time)
A,195977,train,8,4,5,4 5,2,665 913,40 32,1,1578,1551487755.858,Fri Mar 01 2019 19:49:15 GMT-0500 (Eastern Standard Time)
A,195977,train,9,10,7,10 1 2 1 10 9 8 7,8,421 777 594 406 896 727 2217 605,39 39 37 37 40 40 40 32,1 2 3 4 5 6 7,6643,1551487768.513,Fri Mar 01 2019 19:49:28 GMT-0500 (Eastern Standard Time)
A,195977,train,10,2,3,2 3,2,417 430,40 32,1,847,1551487775.369,Fri Mar 01 2019 19:49:35 GMT-0500 (Eastern Standard Time)
A,195977,train,11,2,3,2 3,2,408 617,40 32,1,1025,1551487782.402,Fri Mar 01 2019 19:49:42 GMT-0500 (Eastern Standard Time)
A,195977,train,12,2,3,2 3,2,243 300,40 32,1,543,1551487788.955,Fri Mar 01 2019 19:49:48 GMT-0500 (Eastern Standard Time)
A,195977,train,13,2,3,2 3,2,372 451,40 32,1,823,1551487795.788,Fri Mar 01 2019 19:49:55 GMT-0500 (Eastern Standard Time)
A,195977,train,14,10,7,10 9 8 7,4,1570 786 516 617,40 40 40 32,1 2 3,3489,1551487805.29,Fri Mar 01 2019 19:50:05 GMT-0500 (Eastern Standard Time)
A,195977,train,15,2,3,2 3,2,408 160,40 32,1,568,1551487811.87,Fri Mar 01 2019 19:50:11 GMT-0500 (Eastern Standard Time)
A,195977,train,16,10,7,10 9 8 7,4,367 169 151 603,40 40 40 32,1 2 3,1290,1551487819.173,Fri Mar 01 2019 19:50:19 GMT-0500 (Eastern Standard Time)
A,195977,train,17,6,8,6 7 6 5 6 7 8,7,700 562 715 535 451 441 592 490 1444 805 59 44 3184 986,37 37 37 37 39 39 39 37 37 37 37 37 38 32,1 5 6 8 9 13,11008,1551487836.195,Fri Mar 01 2019 19:50:36 GMT-0500 (Eastern Standard Time)
A,195977,train,18,8,9,8 7 8 9,4,561 692 153 850,40 38 38 32,1 2 3,2256,1551487844.463,Fri Mar 01 2019 19:50:44 GMT-0500 (Eastern Standard Time)
A,195977,train,19,10,7,10 9 8 7,4,460 162 150 750,40 40 40 32,1 2 3,1522,1551487851.993,Fri Mar 01 2019 19:50:51 GMT-0500 (Eastern Standard Time)
A,195977,train,20,7,2,7 8 9 10 9 8 7 6 5 6 7 8 9 10 1 2,16,453 355 375 363 587 136 1121 858 619 472 481 179 180 290 511 1660 1089 848 397 1153,38 38 38 38 40 40 40 39 39 39 37 37 37 37 38 38 38 39 39 32,1 2 3 5 6 7 8 9 11 12 15 16 17 18 19,12127,1551487870.133,Fri Mar 01 2019 19:51:10 GMT-0500 (Eastern Standard Time)
A,195977,train,21,7,10,7 8 9 10,4,441 200 173 534,38 38 38 32,1 2 3,1348,1551487877.49,Fri Mar 01 2019 19:51:17 GMT-0500 (Eastern Standard Time)
A,195977,train,22,6,5,6 7 6 5 6 5,6,426 517 468 396 253 381 345,37 39 39 39 37 39 32,1 2 3 5 6,2786,1551487886.291,Fri Mar 01 2019 19:51:26 GMT-0500 (Eastern Standard Time)
A,195977,train,23,4,5,4 3 4 5 4 5,6,1201 622 155 816 492 330,38 40 40 38 40 32,1 2 3 4 5,3616,1551487895.923,Fri Mar 01 2019 19:51:35 GMT-0500 (Eastern Standard Time)
A,195977,train,24,5,4,5 4,2,397 569,38 32,1,966,1551487902.902,Fri Mar 01 2019 19:51:42 GMT-0500 (Eastern Standard Time)
A,195977,train,25,2,3,2 3,2,470 266,40 32,1,736,1551487909.645,Fri Mar 01 2019 19:51:49 GMT-0500 (Eastern Standard Time)
A,195977,train,26,4,5,4 5 4 5,4,809 351 459 434 296,40 40 38 40 32,1 3 4,2349,1551487918.006,Fri Mar 01 2019 19:51:58 GMT-0500 (Eastern Standard Time)
A,195977,train,27,10,7,10 9 8 7,4,524 164 812 477,40 40 40 32,1 2 3,1977,1551487925.995,Fri Mar 01 2019 19:52:05 GMT-0500 (Eastern Standard Time)
A,195977,train,28,4,5,4 5 4 5,4,406 372 294 388 281,40 40 38 40 32,1 3 4,1741,1551487933.749,Fri Mar 01 2019 19:52:13 GMT-0500 (Eastern Standard Time)
A,195977,train,29,4,5,4 5,2,659 322,40 32,1,981,1551487940.741,Fri Mar 01 2019 19:52:20 GMT-0500 (Eastern Standard Time)
A,195977,train,30,4,5,4 5,2,514 180,40 32,1,694,1551487947.449,Fri Mar 01 2019 19:52:27 GMT-0500 (Eastern Standard Time)
A,195977,train,31,2,6,2 3 4 5 4 3 2 1 10 1 2 3 4 5 6,15,333 404 548 720 70 656 63 326 263 474 1348 527 598 294 932 1781 1167 1795 726 910,40 40 40 40 40 38 38 38 38 37 37 37 39 39 39 40 40 40 37 32,1 2 3 6 7 8 10 11 13 14 16 17 18 19,13935,1551487967.392,Fri Mar 01 2019 19:52:47 GMT-0500 (Eastern Standard Time)
A,195977,train,32,3,1,3 4 5 6 7 6 5 6 7 8 9 10 9 8 7 6 5 4 3 2 1,21,499 1591 746 518 498 497 220 153 157 1625 1526 1057 620 602 709 589 341 173 148 158 406 648 399 817 810 498 466 922 904 722,40 40 37 37 37 39 39 39 39 37 37 38 38 38 38 38 40 40 40 40 40 39 39 39 39 38 38 38 37 32,1 2 3 4 6 7 10 11 12 13 14 17 18 19 22 23 26 27 28 29,19019,1551487992.443,Fri Mar 01 2019 19:53:12 GMT-0500 (Eastern Standard Time)
A,195977,train,33,3,4,3 4,2,572 590,40 32,1,1162,1551487999.674,Fri Mar 01 2019 19:53:19 GMT-0500 (Eastern Standard Time)
