group, subj_id, stage, trial, start, goal, path, length, RTs, keys, valid_keys, RT_tot, timestamp, datetime
A,164799,train,26,10,7,10 9 8 7,4,2273 260 139 112 206,38 38 38 38 32,1 2 3,2990,1551497223.363,Fri Mar 01 2019 22:27:03 GMT-0500 (Eastern Standard Time)
A,164799,train,27,2,3,2 3 4 3,4,998 156 446 188,38 38 40 32,1 2 3,1788,1551497231.156,Fri Mar 01 2019 22:27:11 GMT-0500 (Eastern Standard Time)
A,164799,train,28,8,2,8 7 8 9 10 9 8 9 10 9 8 7 6 5 4 3 2,17,2594 162 651 161 157 112 298 120 815 133 144 138 144 335 138 163 249 160 320 250 296 387 307 103 365 151 132 637,38 38 40 40 40 40 38 38 40 40 40 40 40 37 37 37 38 38 38 38 39 39 39 40 40 40 40 32,1 3 4 5 7 8 9 10 17 18 19 21 22 24 25 26,9622,1551497246.785,Fri Mar 01 2019 22:27:26 GMT-0500 (Eastern Standard Time)
A,164799,train,29,4,5,4 5,2,2109 859,38 32,1,2968,1551497255.76,Fri Mar 01 2019 22:27:35 GMT-0500 (Eastern Standard Time)
A,164799,train,30,2,3,2 3 4 3,4,2728 223 360 104,38 38 40 32,1 2 3,3415,1551497265.181,Fri Mar 01 2019 22:27:45 GMT-0500 (Eastern Standard Time)
A,164799,train,31,2,9,2 3 4 5 6 7 8 9 10 9,10,507 278 277 360 1009 162 128 166 343 177 133 161 263 474,38 38 38 38 37 37 37 37 40 40 40 40 38 32,1 2 3 5 6 9 10 11 13,4438,1551497275.626,Fri Mar 01 2019 22:27:55 GMT-0500 (Eastern Standard Time)
A,164799,train,32,2,3,2 3 4 3,4,1286 147 445 79,38 38 40 32,1 2 3,1957,1551497283.589,Fri Mar 01 2019 22:28:03 GMT-0500 (Eastern Standard Time)
A,164799,train,33,2,3,2 3 4 3,4,643 127 393 90,38 38 40 32,1 2 3,1253,1551497290.849,Fri Mar 01 2019 22:28:10 GMT-0500 (Eastern Standard Time)
A,164799,train,34,6,1,6 5 4 3 2 1,6,64 131 124 55 194 123 138 108 181,39 39 39 40 40 40 40 37 32,1 4 5 6 8,1118,1551497297.976,Fri Mar 01 2019 22:28:17 GMT-0500 (Eastern Standard Time)
A,164799,train,35,4,5,4 5,2,656 184 149 133 386,37 38 38 38 32,2,1508,1551497305.491,Fri Mar 01 2019 22:28:25 GMT-0500 (Eastern Standard Time)
A,164799,train,36,3,4,3 2 1 10 9 8 7 6 5 4,10,269 164 399 188 163 150 148 135 133 137 167 242 218 250 256 447,40 40 37 37 37 37 38 38 38 38 38 39 39 39 40 32,1 3 4 7 8 9 12 13 15,3466,1551497314.963,Fri Mar 01 2019 22:28:34 GMT-0500 (Eastern Standard Time)
A,164799,train,37,10,4,10 1 2 3 4,5,856 132 151 194 388 119,39 39 39 38 38 32,1 2 4 5,1840,1551497322.811,Fri Mar 01 2019 22:28:42 GMT-0500 (Eastern Standard Time)
A,164799,train,38,4,8,4 3 2 1 10 9 8 7 8,9,2338 136 136 204 145 192 139 145 144 140 136 361 114,40 40 40 40 37 37 37 37 38 38 38 40 32,1 2 5 6 9 10 11 12,4330,1551497333.147,Fri Mar 01 2019 22:28:53 GMT-0500 (Eastern Standard Time)
A,164799,train,39,2,3,2 3,2,323 661,38 32,1,984,1551497340.139,Fri Mar 01 2019 22:29:00 GMT-0500 (Eastern Standard Time)
A,164799,train,40,4,5,4 5,2,2548 148 105 316,38 38 38 32,1,3117,1551497349.263,Fri Mar 01 2019 22:29:09 GMT-0500 (Eastern Standard Time)
