group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,115999,train,6,8,6 7 8,3,305 389 298,38 38 32,992,1541167288.392,Fri Nov 02 2018 22:01:28 GMT+0800 (China Standard Time)
A,115999,train,3,2,3 2,2,451 246,38 32,697,1541167295.095,Fri Nov 02 2018 22:01:35 GMT+0800 (China Standard Time)
A,115999,train,6,3,6 5 4 3,4,184 452 381 389,37 37 38 32,1406,1541167302.507,Fri Nov 02 2018 22:01:42 GMT+0800 (China Standard Time)
A,115999,train,6,8,6 5 4 3 2 1 8,7,340 331 325 362 410 381 275,37 37 38 38 39 39 32,2424,1541167310.937,Fri Nov 02 2018 22:01:50 GMT+0800 (China Standard Time)
A,115999,train,3,7,3 2 1 8 7,5,590 453 242 283 387,38 39 39 40 32,1955,1541167318.898,Fri Nov 02 2018 22:01:58 GMT+0800 (China Standard Time)
A,115999,train,3,2,3 2,2,321 292,38 32,613,1541167325.524,Fri Nov 02 2018 22:02:05 GMT+0800 (China Standard Time)
A,115999,train,3,1,3 2 1,3,280 473 337,38 39 32,1090,1541167332.62,Fri Nov 02 2018 22:02:12 GMT+0800 (China Standard Time)
A,115999,train,5,4,5 4,2,342 269,37 32,611,1541167339.239,Fri Nov 02 2018 22:02:19 GMT+0800 (China Standard Time)
A,115999,train,7,8,7 8,2,351 292,38 32,643,1541167345.888,Fri Nov 02 2018 22:02:25 GMT+0800 (China Standard Time)
A,115999,train,2,1,2 1,2,302 322,39 32,624,1541167352.518,Fri Nov 02 2018 22:02:32 GMT+0800 (China Standard Time)
A,115999,train,3,2,3 2,2,331 305,38 32,636,1541167359.16,Fri Nov 02 2018 22:02:39 GMT+0800 (China Standard Time)
A,115999,train,2,3,2 3,2,304 285,40 32,589,1541167365.755,Fri Nov 02 2018 22:02:45 GMT+0800 (China Standard Time)
A,115999,train,6,8,6 5 4 3 2 1 8,7,269 447 377 390 365 350 280,37 37 38 38 39 39 32,2478,1541167374.241,Fri Nov 02 2018 22:02:54 GMT+0800 (China Standard Time)
A,115999,train,5,4,5 4,2,331 303,37 32,634,1541167380.881,Fri Nov 02 2018 22:03:00 GMT+0800 (China Standard Time)
A,115999,train,7,6,7 6,2,335 288,40 32,623,1541167387.509,Fri Nov 02 2018 22:03:07 GMT+0800 (China Standard Time)
A,115999,train,8,7,8 7,2,491 316,40 32,807,1541167394.322,Fri Nov 02 2018 22:03:14 GMT+0800 (China Standard Time)
