group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, reward, timestamp, datetime
A,118303,train,8,-1,8,1,13111,32,13111,212,1552344220.843,Mon Mar 11 2019 18:43:40 GMT-0400 (Eastern Daylight Time)
A,118303,train,10,-1,10 9 10,3,2347 552 1840,38 40 32,4739,212,1552344227.096,Mon Mar 11 2019 18:43:47 GMT-0400 (Eastern Daylight Time)
A,118303,train,4,6,4 5 6 7 8 7 6,7,378 680 480 583 248 169 400 703,38 37 37 40 39 38 39 32,3641,143,1552344232.255,Mon Mar 11 2019 18:43:52 GMT-0400 (Eastern Daylight Time)
A,118303,train,9,4,9 10 1 2 3 4,6,1398 408 1095 208 217 304 216 767,37 40 39 39 39 38 38 32,4613,143,1552344238.391,Mon Mar 11 2019 18:43:58 GMT-0400 (Eastern Daylight Time)
A,118303,train,7,9,7 8 9,3,1023 184 648,40 40 32,1855,212,1552344241.759,Mon Mar 11 2019 18:44:01 GMT-0400 (Eastern Daylight Time)
A,118303,train,7,4,7 6 5 4,4,977 319 192 337 1264,39 39 39 40 32,3089,143,1552344246.367,Mon Mar 11 2019 18:44:06 GMT-0400 (Eastern Daylight Time)
A,118303,train,5,4,5 4,2,1346 560,40 32,1906,143,1552344249.791,Mon Mar 11 2019 18:44:09 GMT-0400 (Eastern Daylight Time)
A,118303,train,2,-1,2 1 10,3,1396 635 1847,37 37 32,3878,212,1552344255.19,Mon Mar 11 2019 18:44:15 GMT-0400 (Eastern Daylight Time)
A,118303,train,10,7,10 9 8 7,4,9302 193 168 864,38 38 38 32,10527,212,1552344267.236,Mon Mar 11 2019 18:44:27 GMT-0400 (Eastern Daylight Time)
A,118303,train,7,3,7 6 5 4 3,5,1008 216 807 200 768,39 39 40 40 32,2999,53,1552344271.756,Mon Mar 11 2019 18:44:31 GMT-0400 (Eastern Daylight Time)
A,118303,train,5,6,5 6,2,1488 576,37 32,2064,143,1552344275.332,Mon Mar 11 2019 18:44:35 GMT-0400 (Eastern Daylight Time)
A,118303,train,4,5,4 5,2,1048 712,38 32,1760,143,1552344278.604,Mon Mar 11 2019 18:44:38 GMT-0400 (Eastern Daylight Time)
A,118303,train,6,-1,6 7 6 7,4,2078 448 1968 1216,37 39 37 32,5710,212,1552344285.828,Mon Mar 11 2019 18:44:45 GMT-0400 (Eastern Daylight Time)
A,118303,train,3,-1,3 2 1 10,4,5941 407 208 681,40 37 37 32,7237,212,1552344294.577,Mon Mar 11 2019 18:44:54 GMT-0400 (Eastern Daylight Time)
A,118303,train,4,8,4 5 6 7 8,5,872 536 743 239 130 336 720,37 38 37 37 37 40 32,3576,212,1552344299.673,Mon Mar 11 2019 18:44:59 GMT-0400 (Eastern Daylight Time)
A,118303,train,2,-1,2 1 10 9,4,953 336 1160 768,37 37 38 32,3217,212,1552344304.409,Mon Mar 11 2019 18:45:04 GMT-0400 (Eastern Daylight Time)
A,118303,train,4,-1,4 5 6 7 8,5,2212 432 423 520 319 728,37 38 37 37 40 32,4634,212,1552344310.561,Mon Mar 11 2019 18:45:10 GMT-0400 (Eastern Daylight Time)
A,118303,train,3,7,3 4 5 6 7,5,4037 183 472 184 240 577,38 38 38 37 37 32,5693,212,1552344317.766,Mon Mar 11 2019 18:45:17 GMT-0400 (Eastern Daylight Time)
A,118303,train,7,-1,7 8 7,3,4152 635 528 632,37 40 38 32,5947,212,1552344325.23,Mon Mar 11 2019 18:45:25 GMT-0400 (Eastern Daylight Time)
A,118303,train,9,7,9 8 7,3,1155 384 624,38 38 32,2163,212,1552344328.909,Mon Mar 11 2019 18:45:28 GMT-0400 (Eastern Daylight Time)
A,118303,train,5,9,5 6 7 8 9,5,1096 392 264 208 712,37 37 40 40 32,2672,212,1552344333.094,Mon Mar 11 2019 18:45:33 GMT-0400 (Eastern Daylight Time)
A,118303,train,1,9,1 10 9 8 9,5,1603 622 473 224 600 424,40 37 38 38 40 32,3946,212,1552344338.558,Mon Mar 11 2019 18:45:38 GMT-0400 (Eastern Daylight Time)
A,118303,train,7,1,7 8 9 10 1,5,736 601 352 232 408 351 889,37 40 40 40 39 40 32,3569,53,1552344343.645,Mon Mar 11 2019 18:45:43 GMT-0400 (Eastern Daylight Time)
A,118303,train,8,1,8 9 10 1,4,4016 263 313 647,40 40 39 32,5239,53,1552344350.402,Mon Mar 11 2019 18:45:50 GMT-0400 (Eastern Daylight Time)
A,118303,train,5,6,5 6,2,2321 432,37 32,2753,143,1552344354.673,Mon Mar 11 2019 18:45:54 GMT-0400 (Eastern Daylight Time)
