group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, reward, timestamp, datetime
A,108802,train,8,-1,8 9,2,5827 2779,40 32,8606,195,1543587682.028,Fri Nov 30 2018 06:21:22 GMT-0800 (Pacific Standard Time)
A,108802,train,8,2,8 7 8 9 10 1 2,7,1253 355 636 3428 644 517 292 167 308,37 38 40 32 40 40 39 39 32,7600,110,1543587691.131,Fri Nov 30 2018 06:21:31 GMT-0800 (Pacific Standard Time)
A,108802,train,3,-1,3 2 1 10,4,1577 444 260 187 1044,37 40 37 37 32,3512,192,1543587696.148,Fri Nov 30 2018 06:21:36 GMT-0800 (Pacific Standard Time)
A,108802,train,1,-1,1 10,2,3536 816,37 32,4352,192,1543587702.002,Fri Nov 30 2018 06:21:42 GMT-0800 (Pacific Standard Time)
A,108802,train,2,-1,2 1 10,3,2409 252 1168,37 37 32,3829,192,1543587707.334,Fri Nov 30 2018 06:21:47 GMT-0800 (Pacific Standard Time)
A,108802,train,10,-1,10,1,2652,32,2652,192,1543587711.49,Fri Nov 30 2018 06:21:51 GMT-0800 (Pacific Standard Time)
A,108802,train,3,7,3 4 5 6 7,5,905 220 284 196 488,38 38 37 37 32,2093,192,1543587715.086,Fri Nov 30 2018 06:21:55 GMT-0800 (Pacific Standard Time)
A,108802,train,10,-1,10,1,2341,32,2341,192,1543587718.93,Fri Nov 30 2018 06:21:58 GMT-0800 (Pacific Standard Time)
A,108802,train,9,4,9 10 1 2 3 4,6,1445 208 192 264 176 532,40 39 39 38 38 32,2817,137,1543587723.249,Fri Nov 30 2018 06:22:03 GMT-0800 (Pacific Standard Time)
A,108802,train,7,-1,7,1,1968,32,1968,192,1543587726.721,Fri Nov 30 2018 06:22:06 GMT-0800 (Pacific Standard Time)
A,108802,train,7,-1,7,1,1687,32,1687,192,1543587729.914,Fri Nov 30 2018 06:22:09 GMT-0800 (Pacific Standard Time)
A,108802,train,5,-1,5 6 7,3,1543 204 684,37 37 32,2431,259,1543587733.849,Fri Nov 30 2018 06:22:13 GMT-0800 (Pacific Standard Time)
A,108802,train,8,-1,8,1,11774,32,11774,259,1543587747.128,Fri Nov 30 2018 06:22:27 GMT-0800 (Pacific Standard Time)
A,108802,train,6,7,6 7,2,3099 1060,37 32,4159,259,1543587752.793,Fri Nov 30 2018 06:22:32 GMT-0800 (Pacific Standard Time)
A,108802,train,6,-1,6 5 4,3,3207 448 1228,39 40 32,4883,236,1543587759.179,Fri Nov 30 2018 06:22:39 GMT-0800 (Pacific Standard Time)
A,108802,train,8,-1,8 7 6,3,1365 1009 2462,38 39 32,4836,236,1543587765.52,Fri Nov 30 2018 06:22:45 GMT-0800 (Pacific Standard Time)
A,108802,train,2,9,2 1 10 9,4,971 280 244 548,37 37 38 32,2043,95,1543587769.067,Fri Nov 30 2018 06:22:49 GMT-0800 (Pacific Standard Time)
A,108802,train,6,-1,6 5 4,3,1745 316 2301,39 40 32,4362,236,1543587774.932,Fri Nov 30 2018 06:22:54 GMT-0800 (Pacific Standard Time)
A,108802,train,7,10,7 6 5 4 3 2 1 10,8,1274 696 304 1752 348 243 225 456,39 39 40 40 40 37 37 32,5298,95,1543587781.734,Fri Nov 30 2018 06:23:01 GMT-0800 (Pacific Standard Time)
A,108802,train,6,-1,6 5 4,3,1004 616 1661,39 40 32,3281,236,1543587786.519,Fri Nov 30 2018 06:23:06 GMT-0800 (Pacific Standard Time)
A,108802,train,9,2,9 10 1 2,4,862 260 172 384,40 39 39 32,1678,211,1543587789.702,Fri Nov 30 2018 06:23:09 GMT-0800 (Pacific Standard Time)
A,108802,train,9,4,9 10 1 2 3 4,6,564 176 308 188 284 176 484,40 40 39 39 38 38 32,2180,236,1543587793.386,Fri Nov 30 2018 06:23:13 GMT-0800 (Pacific Standard Time)
A,108802,train,5,-1,5 4 5,3,707 808 1021,40 38 32,2536,236,1543587797.426,Fri Nov 30 2018 06:23:17 GMT-0800 (Pacific Standard Time)
A,108802,train,6,10,6 7 8 9 10,5,1368 268 180 184 368,37 40 40 40 32,2368,95,1543587801.298,Fri Nov 30 2018 06:23:21 GMT-0800 (Pacific Standard Time)
A,108802,train,1,9,1 10 9,3,753 280 376,37 38 32,1409,95,1543587804.21,Fri Nov 30 2018 06:23:24 GMT-0800 (Pacific Standard Time)
A,108802,train,6,-1,6,1,2423,32,2423,236,1543587808.134,Fri Nov 30 2018 06:23:28 GMT-0800 (Pacific Standard Time)
A,108802,train,8,-1,8 9 10 1,4,2272 176 252 1024,40 40 39 32,3724,294,1543587813.361,Fri Nov 30 2018 06:23:33 GMT-0800 (Pacific Standard Time)
A,108802,train,1,5,1 2 3 4 5,5,871 299 185 192 456,39 38 38 38 32,2003,153,1543587816.868,Fri Nov 30 2018 06:23:36 GMT-0800 (Pacific Standard Time)
A,108802,train,3,8,3 2 1 10 9 8,6,1149 295 172 239 189 396,40 37 37 38 38 32,2440,24,1543587820.812,Fri Nov 30 2018 06:23:40 GMT-0800 (Pacific Standard Time)
A,108802,train,1,-1,1,1,2039,32,2039,294,1543587824.356,Fri Nov 30 2018 06:23:44 GMT-0800 (Pacific Standard Time)
A,108802,train,3,-1,3,1,1475,32,1475,294,1543587827.333,Fri Nov 30 2018 06:23:47 GMT-0800 (Pacific Standard Time)
A,108802,train,7,-1,7 6 5 4 3,5,1386 706 257 192 360,39 39 40 40 32,2901,294,1543587831.737,Fri Nov 30 2018 06:23:51 GMT-0800 (Pacific Standard Time)
A,108802,train,1,-1,1,1,1983,32,1983,294,1543587835.223,Fri Nov 30 2018 06:23:55 GMT-0800 (Pacific Standard Time)
A,108802,train,2,-1,2,1,1220,32,1220,294,1543587837.948,Fri Nov 30 2018 06:23:57 GMT-0800 (Pacific Standard Time)
