Group, ID, Type, Displayed, Goals, Path, Length, RT_Path, Final_RT
Group A , 119812 , training , 4 , 6 , 4 3 2 1 2 1 2 1 7 6 , 10 , 188729 1 6581 6994 3935 2871 3994 3487 2807 2632 3881 3535 , 230648
Group A , 119812 , training , 2 , 4 , 2 1 2 1 7 6 7 6 5 4 , 10 , 6415 2321 2912 0 911 1 744 2327 2368 2321 1 462 1944 1 319 2032 2 454 1 408 2480 3481 , 31905
Group A , 119812 , training , 4 , 6 , 4 3 2 1 7 6 , 6 , 5079 1896 2184 5232 2392 2823 , 19607
Group A , 119812 , training , 2 , 4 , 2 1 7 6 5 4 , 6 , 14104 79511 2321 2216 2088 2241 , 102478
Group A , 119812 , training , 4 , 6 , 4 3 2 1 7 6 , 6 , 8775 1905 2103 2288 2384 2824 , 20281
Group A , 119812 , training , 2 , 4 , 2 1 7 6 5 4 , 6 , 12233 2165 2009 2072 2088 2537 , 23104
Group A , 119812 , training , 6 , 1 , 6 5 4 3 2 1 , 6 , 5919 2336 2096 1961 2336 2704 , 17352
Group A , 119812 , training , 4 , 6 , 4 3 2 1 7 6 , 6 , 7032 2167 1976 1816 1876 2124 , 16991
Group A , 119812 , training , 4 , 6 , 4 3 2 1 7 6 , 6 , 5489 2103 2152 2704 2000 2369 , 16816
Group A , 119812 , training , 2 , 4 , 2 1 7 6 5 4 , 6 , 5543 2111 2201 2447 12674 2336 , 27313
Group A , 119812 , training , 2 , 4 , 2 1 7 6 5 4 , 6 , 4504 2224 1729 2070 2312 2070 , 14908
Group A , 119812 , training , 1 , 5 , 1 7 1 2 3 4 5 , 7 , 5795 1978 1989 2368 2480 2018 1749 , 18379
Group A , 119812 , training , 2 , 4 , 2 3 4 , 3 , 4505 2048 1832 2167 1929 , 12480
Group A , 119812 , training , 2 , 4 , 2 3 4 , 3 , 5552 2095 2121 , 9768
Group A , 119812 , training , 4 , 6 , 4 5 6 , 3 , 4720 1000 8 2463 2097 , 10287
Group A , 119812 , training , 4 , 6 , 4 3 4 5 6 , 5 , 4656 2248 2416 2240 2352 , 13913
Group A , 119812 , training , 2 , 4 , 2 1 7 6 5 4 , 6 , 4824 2121 2175 2287 2185 2896 , 16487
Group A , 119812 , training , 4 , 6 , 4 3 2 3 4 5 6 , 7 , 7120 2159 1695 8 1849 2032 1928 , 16791
Group A , 119812 , training , 2 , 1 , 2 3 4 5 6 7 1 , 7 , 4570 2238 2016 2272 2304 2522 2022 , 17945
Group A , 119812 , training , 2 , 4 , 2 3 4 , 3 , 5775 2338 2215 , 10328
Group A , 119812 , training , 4 , 6 , 4 3 2 1 7 6 , 6 , 4688 1926 1698 1951 2392 2224 , 14880
Group A , 119812 , training , 2 , 4 , 2 1 7 6 5 4 , 6 , 4593 2223 2160 2384 2319 2137 , 15816
Group A , 119812 , training , 4 , 6 , 4 3 2 1 7 6 , 6 , 4330 2063 2056 2144 2043 2197 , 14832
Group A , 119812 , training , 7 , 6 , 7 6 , 2 , 8152 2832 , 10984
Group A , 119812 , training , 2 , 4 , 2 1 7 6 5 4 , 6 , 5248 1981 2083 1974 1769 2041 , 15096
Group A , 119812 , training , 4 , 6 , 4 3 2 1 7 6 , 6 , 4759 2000 1880 2072 2049 2176 , 14935
Group A , 119812 , training , 2 , 4 , 2 1 7 6 5 4 , 6 , 4558 1950 2387 2368 2544 2360 , 16168
Group A , 119812 , training , 4 , 6 , 4 3 2 1 7 6 , 6 , 5986 1934 1992 2408 2544 2137 , 17000
Group A , 119812 , training , 2 , 4 , 2 1 7 6 5 4 , 6 , 4407 2279 1975 2203 1974 1921 , 14760
Group A , 119812 , training , 4 , 6 , 4 5 6 , 3 , 5616 2447 2233 , 10295
Group A , 119812 , training , 2 , 4 , 2 1 7 6 5 4 , 6 , 4927 2288 2448 2121 2151 2185 , 16121
Group A , 119812 , training , 4 , 6 , 4 5 6 , 3 , 4607 1929 1911 , 8447
Group A , 119812 , training , 2 , 4 , 2 1 7 6 5 4 , 6 , 4697 2320 2399 1986 1846 1641 , 14889
Group A , 119812 , training , 4 , 6 , 4 5 6 , 3 , 4472 1938 2077 , 8487
Group A , 119812 , training , 6 , 5 , 6 5 , 2 , 5688 2296 , 7984
Group A , 119812 , test , 2 , 6 , 2 1 2 3 4 5 6 , 7 , 7137 2551 2328 2112 1865 2016 1840 152 , 20001
Group A , 119812 , test , 4 , 7 , 4 5 6 7 , 4 , 4433 2143 2168 2160 , 10905
Group A , 119812 , test , 6 , 2 , 6 7 1 2 , 4 , 4392 2008 2096 2128 , 10623
Group A , 119812 , test , 7 , 4 , 7 1 2 3 4 , 5 , 5536 1977 1704 1958 2008 , 13183
Group A , 119812 , test , 4 , 7 , 4 3 2 1 7 , 5 , 6289 2096 2248 2175 2777 , 15584
Group A , 119812 , test , 6 , 2 , 6 7 1 2 , 4 , 4719 1985 1822 2017 , 10544
Group A , 119812 , test , 2 , 6 , 2 3 4 5 6 , 5 , 4777 1895 1745 1877 2091 , 12386
Group A , 119812 , test , 7 , 4 , 7 6 5 4 , 4 , 4935 2000 1705 2120 , 10758
Group A , 119812 , test , 7 , 4 , 7 1 2 3 4 , 5 , 4808 2087 1970 1718 2553 , 13137
Group A , 119812 , test , 4 , 7 , 4 3 2 1 7 , 5 , 4478 1939 1809 1724 2193 , 12143
Group A , 119812 , test , 6 , 2 , 6 5 4 3 2 , 5 , 5175 1975 1786 1768 2145 , 12849
Group A , 119812 , test , 2 , 6 , 2 1 7 6 , 4 , 4367 1928 1808 1952 , 10055
Group A , 119812 , test , 4 , 7 , 4 3 2 1 7 , 5 , 4767 1937 1718 1722 1984 , 12127
Group A , 119812 , test , 2 , 6 , 2 1 7 6 , 4 , 4496 1993 1807 1968 , 10264
Group A , 119812 , test , 7 , 4 , 7 6 5 4 , 4 , 6384 2023 1840 1799 , 12048
Group A , 119812 , test , 6 , 2 , 6 5 4 3 2 , 5 , 4562 1994 1728 1782 2071 , 12137
