Group, ID, Type, Displayed, Goals, Path, Length, RT_Path, Final_RT
Group B , 137081 , training , 4 , 2 , 4 3 2 , 3 , 113473 3944 2 2569 2 1411 3408 2584 1 695 2546 2598 2432 2545 2457 2598 2 1782 , 146254
Group B , 137081 , training , 2 , 6 , 2 3 4 5 6 , 5 , 5601 2674 2828 2169 3104 , 16373
Group B , 137081 , training , 5 , 6 , 5 6 , 2 , 4635 2261 2824 2305 2383 2400 2432 19240 2 784 0 438 2688 2632 2520 2568 2290 2302 2350 2754 , 59809
Group B , 137081 , training , 2 , 3 , 2 3 , 2 , 4851 2749 , 7598
Group B , 137081 , training , 3 , 7 , 3 4 5 6 7 , 5 , 5256 2388 2484 2400 2776 , 15303
Group B , 137081 , training , 4 , 1 , 4 3 4 5 6 7 1 , 7 , 4676 2484 2415 2400 2285 2396 2744 , 19400
Group B , 137081 , training , 2 , 5 , 2 3 4 5 , 4 , 4608 2399 2294 2499 , 11801
Group B , 137081 , training , 4 , 7 , 4 3 2 1 7 , 5 , 5874 2518 2319 2329 2520 , 15559
Group B , 137081 , training , 2 , 5 , 2 3 4 5 , 4 , 4568 2416 2399 2401 , 11787
Group B , 137081 , training , 5 , 1 , 5 6 7 1 , 4 , 4690 8430 2346 2759 , 18222
Group B , 137081 , training , 6 , 2 , 6 7 1 2 , 4 , 4367 2320 2201 2648 , 11538
Group B , 137081 , training , 4 , 7 , 4 5 6 7 , 4 , 5136 2389 2340 2534 , 12399
Group B , 137081 , training , 7 , 4 , 7 6 5 4 , 4 , 4648 2432 2244 2429 , 11753
Group B , 137081 , training , 1 , 2 , 1 7 1 2 , 4 , 4953 2558 2560 2624 , 12694
Group B , 137081 , training , 2 , 6 , 2 3 2 1 7 6 , 6 , 6066 2590 2312 2400 2368 2258 , 17994
Group B , 137081 , training , 2 , 4 , 2 3 4 , 3 , 4606 2384 2624 , 9614
Group B , 137081 , training , 7 , 6 , 7 1 2 3 4 5 6 , 7 , 4643 2700 2473 2296 2416 2328 2496 , 19352
Group B , 137081 , training , 7 , 2 , 7 6 7 1 2 , 5 , 4568 2608 2792 2225 2479 , 14674
Group B , 137081 , training , 4 , 5 , 4 5 , 2 , 4776 2560 , 7336
Group B , 137081 , training , 2 , 5 , 2 3 4 5 , 4 , 4488 2571 2351 2494 , 11903
Group B , 137081 , training , 1 , 3 , 1 2 3 , 3 , 4896 2395 2733 , 10023
Group B , 137081 , training , 6 , 7 , 6 7 , 2 , 4665 2929 , 7595
Group B , 137081 , training , 3 , 7 , 3 2 1 7 , 4 , 4350 2283 2421 2499 , 11552
Group B , 137081 , training , 3 , 7 , 3 2 1 7 , 4 , 4413 2241 2736 2393 , 11783
Group B , 137081 , training , 2 , 3 , 2 3 , 2 , 4734 2568 , 7302
Group B , 137081 , training , 5 , 3 , 5 4 3 , 3 , 4640 2238 2562 , 9440
Group B , 137081 , training , 4 , 7 , 4 3 2 1 7 , 5 , 4682 2486 2552 2501 2583 , 14804
