Group, ID, Type, Displayed, Goals, Path, Length, RT_Path, Final_RT
Group A , 132406 , training , 2 , 4 , 2 3 4 , 3 , 345629 5644 4086 29 31 33 30 31 33 31 1629 , 358414
Group A , 132406 , training , 1 , 7 , 1 2 3 4 5 6 7 , 7 , 6560 5010 5172 3741 4260 3996 4520 , 33251
Group A , 132406 , training , 4 , 6 , 4 5 6 , 3 , 4942 4114 4585 , 13643
Group A , 132406 , training , 4 , 6 , 4 5 6 , 3 , 4995 4244 4330 , 13571
Group A , 132406 , training , 2 , 3 , 2 3 , 2 , 6744 4139 , 10881
Group A , 132406 , training , 2 , 4 , 2 3 4 , 3 , 4822 3934 4537 , 13311
Group A , 132406 , training , 4 , 6 , 4 5 6 , 3 , 4749 4447 4054 , 13251
Group A , 132406 , training , 2 , 4 , 2 3 4 , 3 , 5174 3840 4393 , 13389
Group A , 132406 , training , 2 , 4 , 2 3 4 , 3 , 4696 3836 4200 , 12730
Group A , 132406 , training , 4 , 6 , 4 5 6 , 3 , 4800 3886 4024 , 12712
Group A , 132406 , training , 4 , 1 , 4 5 6 7 1 , 5 , 5498 4252 4698 4234 4658 , 23340
Group A , 132406 , training , 4 , 6 , 4 5 6 , 3 , 4754 3882 4583 , 13236
Group A , 132406 , training , 2 , 4 , 2 3 4 , 3 , 4650 4084 4255 , 12971
Group A , 132406 , training , 2 , 4 , 2 3 4 , 3 , 4965 3940 4464 , 13368
Group A , 132406 , training , 4 , 6 , 4 5 6 , 3 , 5871 4054 3955 , 13881
Group A , 132406 , training , 4 , 6 , 4 5 6 , 3 , 4695 4716 4324 , 13735
Group A , 132406 , training , 2 , 4 , 2 3 4 , 3 , 5002 3714 4738 , 13455
Group A , 132406 , training , 4 , 6 , 4 5 6 , 3 , 6047 4006 4066 , 14119
Group A , 132406 , training , 4 , 6 , 4 5 6 , 3 , 5686 4086 4098 , 13870
Group A , 132406 , training , 4 , 6 , 4 5 6 , 3 , 5323 4977 4246 , 14549
