Group, ID, Type, Displayed, Goals, Path, Length, RT_Path, Final_RT
Group B , 153766 , training , 4 , 7 , 4 3 2 1 7 , 5 , 50200 2875 1927 2073 2271 , 60549
Group B , 153766 , training , 6 , 5 , 6 5 , 2 , 4720 2027 , 6750
Group B , 153766 , training , 7 , 3 , 7 6 5 4 3 , 5 , 6009 1679 2168 1832 1936 , 13619
Group B , 153766 , training , 3 , 2 , 3 4 5 6 7 1 2 , 7 , 5776 1616 1968 1688 1816 1571 1788 , 16224
Group B , 153766 , training , 3 , 2 , 3 2 , 2 , 4644 1936 , 6589
Group B , 153766 , training , 3 , 2 , 3 4 3 2 , 4 , 5721 1855 1567 1832 , 10978
Group B , 153766 , training , 3 , 7 , 3 2 1 7 , 4 , 4784 1597 1931 1896 , 10209
Group B , 153766 , training , 6 , 2 , 6 7 6 5 4 3 2 , 7 , 4817 2063 1707 1616 1560 1617 1589 , 14961
Group B , 153766 , training , 1 , 7 , 1 7 , 2 , 4931 2047 , 6978
Group B , 153766 , training , 4 , 5 , 4 3 2 1 7 6 5 , 7 , 5408 2160 2816 1815 1657 1587 1636 , 17076
Group B , 153766 , training , 5 , 6 , 5 6 , 2 , 4692 1832 , 6522
Group B , 153766 , training , 1 , 6 , 1 2 1 7 6 , 5 , 6879 1673 1583 1993 1703 , 13833
Group B , 153766 , training , 4 , 7 , 4 5 4 3 2 1 7 , 7 , 4791 2442 1647 1716 2228 2165 1951 , 16937
Group B , 153766 , training , 4 , 1 , 4 3 2 1 , 4 , 5129 1679 2119 2393 , 11328
Group B , 153766 , training , 3 , 7 , 3 4 5 6 7 , 5 , 4631 1936 1856 1745 1759 , 11925
Group B , 153766 , training , 3 , 7 , 3 2 1 7 , 4 , 8859 1594 1606 1640 , 13702
Group B , 153766 , training , 4 , 2 , 4 5 6 7 1 2 , 6 , 4848 1927 2113 1648 2167 1840 , 14540
Group B , 153766 , training , 5 , 4 , 5 4 , 2 , 4977 1759 , 6741
Group B , 153766 , training , 3 , 6 , 3 4 3 2 1 7 6 , 7 , 4624 1612 1776 2024 2783 1657 2207 , 16683
Group B , 153766 , training , 3 , 6 , 3 4 5 6 , 4 , 5033 1887 2168 1936 , 11015
Group B , 153766 , training , 6 , 7 , 6 5 4 3 2 1 7 , 7 , 4776 1928 1688 1604 2067 1603 1770 , 15441
Group B , 153766 , training , 1 , 5 , 1 2 3 4 5 , 5 , 4663 1744 1744 4592 1800 , 14538
Group B , 153766 , training , 4 , 2 , 4 3 2 , 3 , 4777 1678 2361 , 8816
Group B , 153766 , training , 5 , 4 , 5 4 , 2 , 7103 1675 , 8777
Group B , 153766 , training , 4 , 1 , 4 5 6 7 1 , 5 , 11032 2497 1575 1584 1888 , 18582
Group B , 153766 , training , 5 , 1 , 5 6 7 1 , 4 , 5273 2051 2391 1968 , 11685
Group B , 153766 , training , 4 , 1 , 4 5 6 7 1 , 5 , 6601 1623 2032 2096 1944 , 14298
Group B , 153766 , training , 4 , 3 , 4 5 4 3 , 4 , 5016 1832 1664 1623 , 10132
