Group, ID, Type, Displayed, Goals, Path, Length, RT_Path, Final_RT
Group B , 122500 , training , 5 , 1 , 5 4 3 2 1 , 5 , 21673 2258 1241 1011 1200 1279 1249 , 31112
Group B , 122500 , training , 3 , 2 , 3 2 , 2 , 4952 1328 , 6279
Group B , 122500 , training , 4 , 6 , 4 3 2 1 7 6 , 6 , 4612 1024 1055 1022 1028 1244 , 9985
Group B , 122500 , training , 1 , 4 , 1 7 6 5 4 , 5 , 5942 1300 1196 1123 1373 , 10934
Group B , 122500 , training , 6 , 2 , 6 7 1 2 , 4 , 4411 1039 1056 1095 , 7601
Group B , 122500 , training , 3 , 7 , 3 2 1 7 , 4 , 4332 1125 1207 1233 , 7899
Group B , 122500 , training , 4 , 6 , 4 5 6 , 3 , 4459 1206 1086 , 6749
Group B , 122500 , training , 5 , 6 , 5 4 3 2 1 7 6 , 7 , 4689 1175 1103 1104 1137 1220 1029 , 11458
Group B , 122500 , training , 4 , 3 , 4 3 , 2 , 5247 1295 , 6542
Group B , 122500 , training , 7 , 1 , 7 6 5 4 3 2 1 , 7 , 4520 1036 1256 1236 1187 1228 1188 , 11650
Group B , 122500 , training , 4 , 1 , 4 3 2 1 , 4 , 5684 1213 1092 1216 , 9207
Group B , 122500 , training , 6 , 3 , 6 5 4 3 , 4 , 4503 1084 1252 1216 , 8054
Group B , 122500 , training , 1 , 6 , 1 2 3 4 5 6 , 6 , 11076 1100 1028 1025 1057 1089 , 16375
Group B , 122500 , training , 4 , 5 , 4 3 2 1 7 6 5 , 7 , 4320 1026 1020 1056 1023 1311 1030 1066 1140 , 12992
Group B , 122500 , training , 1 , 5 , 1 2 3 4 5 , 5 , 4340 1022 1029 1018 1055 1009 1298 , 10770
Group B , 122500 , training , 6 , 4 , 6 5 4 , 3 , 4472 1023 1022 1039 1211 , 8768
Group B , 122500 , training , 2 , 3 , 2 1 7 6 5 4 3 , 7 , 4319 1024 1025 1056 1345 1238 1253 , 11259
Group B , 122500 , training , 2 , 7 , 2 1 7 , 3 , 4644 1028 1056 1328 1110 , 9166
Group B , 122500 , training , 2 , 7 , 2 1 7 , 3 , 5416 1029 1061 1020 1119 , 9646
Group B , 122500 , training , 6 , 3 , 6 5 4 3 , 4 , 4319 1023 1025 1496 , 7864
Group B , 122500 , training , 3 , 5 , 3 2 1 7 6 5 , 6 , 4317 1023 1024 1086 1026 1043 , 9518
Group B , 122500 , training , 2 , 6 , 2 1 7 6 , 4 , 6725 1027 1057 1124 , 9932
Group B , 122500 , training , 1 , 6 , 1 7 6 , 3 , 4326 1024 1022 1437 1729 , 9539
Group B , 122500 , training , 1 , 5 , 1 7 6 5 , 4 , 4329 1022 1027 1020 1355 1142 , 9895
Group B , 122500 , training , 3 , 1 , 3 2 1 , 3 , 4339 1058 1470 , 6867
Group B , 122500 , training , 3 , 7 , 3 2 1 7 , 4 , 4316 1024 1026 1658 , 8024
Group B , 122500 , training , 1 , 5 , 1 7 6 5 , 4 , 4328 1025 1054 1370 , 7778
Group B , 122500 , training , 5 , 4 , 5 4 , 2 , 4331 1026 1199 1103 , 7658
Group B , 122500 , training , 7 , 5 , 7 6 5 , 3 , 4314 1023 1100 , 6436
Group B , 122500 , training , 5 , 4 , 5 4 , 2 , 4320 1011 , 5333
Group B , 122500 , training , 7 , 6 , 7 6 , 2 , 4345 1401 , 5746
Group B , 122500 , training , 3 , 5 , 3 2 1 7 6 5 , 6 , 4335 1023 1029 1018 1225 1079 , 9708
Group B , 122500 , training , 1 , 5 , 1 7 6 5 , 4 , 4334 1022 1024 1100 , 7480
Group B , 122500 , training , 7 , 5 , 7 1 2 3 4 5 , 6 , 4315 1023 1025 1055 1023 1086 , 9527
Group B , 122500 , training , 6 , 5 , 6 5 , 2 , 4315 1025 , 5341
Group B , 122500 , test , 2 , 6 , 2 1 7 6 , 4 , 5200 1027 1022 1098 , 8345
Group B , 122500 , test , 4 , 7 , 4 3 2 1 7 , 5 , 4316 1056 1024 1021 1034 , 8452
Group B , 122500 , test , 6 , 2 , 6 7 1 2 , 4 , 4311 1023 1026 1062 1336 1350 , 10106
Group B , 122500 , test , 7 , 4 , 7 6 5 4 , 4 , 4340 1022 1028 1094 , 7486
Group B , 122500 , test , 6 , 2 , 6 5 4 3 2 , 5 , 4325 1023 1023 1057 1126 , 8553
Group B , 122500 , test , 7 , 4 , 7 6 5 4 , 4 , 4324 1023 1023 1126 , 7499
Group B , 122500 , test , 2 , 6 , 2 1 7 6 , 4 , 4314 1022 1023 1075 , 7432
Group B , 122500 , test , 4 , 7 , 4 3 2 1 7 , 5 , 4336 1058 1023 1021 1096 , 8535
Group B , 122500 , test , 4 , 7 , 4 3 2 1 7 , 5 , 4560 1024 1044 9 628 1290 1073 , 9627
Group B , 122500 , test , 6 , 2 , 6 5 4 3 2 , 5 , 4319 1023 1022 1057 1120 , 8542
Group B , 122500 , test , 7 , 4 , 7 1 2 3 4 , 5 , 4320 1024 1021 1090 1974 , 9428
Group B , 122500 , test , 2 , 6 , 2 1 7 6 , 4 , 4324 1023 1026 1093 , 7465
Group B , 122500 , test , 6 , 2 , 6 5 4 3 2 , 5 , 4326 1023 1022 1099 1247 , 8717
Group B , 122500 , test , 7 , 4 , 7 6 5 4 , 4 , 4311 1024 1022 1014 , 7372
Group B , 122500 , test , 2 , 6 , 2 3 4 5 6 , 5 , 4321 1024 1023 1091 1436 , 8895
Group B , 122500 , test , 4 , 7 , 4 3 2 1 7 , 5 , 4339 1026 1053 1022 1058 1022 1148 , 10667
Group B , 122500 , test , 2 , 6 , 2 1 7 6 , 4 , 4329 1058 1022 1178 , 7589
Group B , 122500 , test , 7 , 4 , 7 6 5 4 , 4 , 4324 1023 1057 1133 , 7536
Group B , 122500 , test , 4 , 7 , 4 5 6 7 , 4 , 4354 1026 1056 1015 , 7450
Group B , 122500 , test , 6 , 2 , 6 5 4 3 2 , 5 , 4338 1026 1018 1060 1102 , 8545

Group A , 122500 , training , 4 , 6 , 4 3 2 1 7 6 , 6 , 18110 265 1028 1024 1055 1023 1138 , 23642
Group A , 122500 , training , 2 , 4 , 2 1 7 6 5 4 , 6 , 4431 1055 1 272 1332 1078 1 289 1356 1057 , 10873
