Group, ID, Type, Displayed, Goals, Path, Length, RT_Path, Final_RT
Group B , 114918 , training , 4 , 7 , 4 5 6 7 , 4 , 4317 1115 11 1071 , 6513
Group B , 114918 , training , 7 , 4 , 7 1 2 3 4 , 5 , 4325 1300 1338 1262 1284 , 9514
Group B , 114918 , training , 1 , 2 , 1 2 , 2 , 9659 2337 , 11993
Group B , 114918 , training , 5 , 3 , 5 6 7 1 2 3 , 6 , 8455 1150 1135 1269 1342 1760 , 15111
Group B , 114918 , training , 3 , 2 , 3 4 5 6 7 1 2 , 7 , 4337 1268 1247 1174 1243 1307 1299 , 11875
Group B , 114918 , training , 5 , 1 , 5 6 7 1 , 4 , 4325 1221 1275 1250 1245 1278 , 10593
Group B , 114918 , training , 5 , 2 , 5 4 3 2 , 4 , 4387 1180 1241 1203 , 8011
Group B , 114918 , training , 5 , 4 , 5 6 7 1 2 3 4 , 7 , 4317 1129 1475 1300 1154 1210 1244 , 11829
Group B , 114918 , training , 4 , 6 , 4 5 6 , 3 , 4338 1180 1307 , 6826
Group B , 114918 , training , 6 , 2 , 6 5 4 3 2 , 5 , 4335 1088 1244 1059 1229 , 8954
Group B , 114918 , training , 2 , 5 , 2 3 4 5 , 4 , 4341 1189 1114 1374 , 8018
Group B , 114918 , training , 4 , 3 , 4 3 , 2 , 4506 1142 , 5650
Group B , 114918 , training , 3 , 6 , 3 2 1 7 6 , 5 , 4326 1126 1208 1237 1 733 1511 , 10141
Group B , 114918 , training , 1 , 3 , 1 2 3 , 3 , 4342 1150 1245 , 6738
Group B , 114918 , training , 5 , 2 , 5 4 3 2 , 4 , 4318 1439 1262 1257 , 8274
Group B , 114918 , training , 5 , 6 , 5 6 , 2 , 4336 1299 , 5635
Group B , 114918 , training , 5 , 2 , 5 4 3 2 , 4 , 4319 1379 1105 1646 , 8450
Group B , 114918 , training , 2 , 1 , 2 3 4 5 6 7 1 , 7 , 4339 1158 1131 1161 1210 1063 1877 , 11939
Group B , 114918 , training , 3 , 7 , 3 2 1 7 , 4 , 4321 1407 1332 1192 , 8253
Group B , 114918 , training , 3 , 4 , 3 4 , 2 , 4393 1199 , 5590
Group B , 114918 , training , 5 , 1 , 5 6 7 1 , 4 , 4338 1213 1159 1305 , 8016
Group B , 114918 , training , 1 , 6 , 1 2 3 4 5 6 , 6 , 4333 1278 1199 1117 1233 1225 , 10384
Group B , 114918 , training , 1 , 4 , 1 7 6 5 4 , 5 , 4314 1158 1270 1242 1359 , 9344
Group B , 114918 , training , 4 , 5 , 4 5 , 2 , 4451 1455 , 5906
Group B , 114918 , training , 1 , 6 , 1 2 3 4 5 6 , 6 , 4325 1247 1237 1238 1223 1218 , 10487
Group B , 114918 , training , 4 , 5 , 4 5 , 2 , 4614 1158 , 5771
Group B , 114918 , training , 1 , 2 , 1 7 6 5 4 3 2 , 7 , 4327 1306 1163 1170 1245 1148 1231 , 11591
Group B , 114918 , training , 5 , 1 , 5 6 7 1 , 4 , 4318 1249 1233 1324 , 8123
Group B , 114918 , test , 7 , 4 , 7 1 2 3 4 , 5 , 4408 1147 1330 1296 1351 , 9533
Group B , 114918 , test , 6 , 2 , 6 7 1 2 , 4 , 4322 1118 1241 1191 , 7873
Group B , 114918 , test , 2 , 6 , 2 3 4 5 6 , 5 , 4331 1153 1303 1109 1371 , 9267
Group B , 114918 , test , 4 , 7 , 4 5 6 7 , 4 , 4329 1241 1161 1339 , 8071
Group B , 114918 , test , 2 , 6 , 2 3 4 5 6 , 5 , 4661 1137 1332 1120 1369 , 9618
Group B , 114918 , test , 6 , 2 , 6 7 1 2 , 4 , 5625 1074 1300 1228 , 9227
Group B , 114918 , test , 7 , 4 , 7 1 2 3 4 , 5 , 5080 1399 1273 1188 1329 , 10268
Group B , 114918 , test , 6 , 2 , 6 7 1 2 , 4 , 4644 1375 1302 1411 , 8732
Group B , 114918 , test , 7 , 4 , 7 1 2 3 4 , 5 , 4318 1272 1373 1201 1353 , 9518
Group B , 114918 , test , 2 , 6 , 2 3 4 5 6 , 5 , 4339 1246 1188 1220 1301 , 9295
Group B , 114918 , test , 4 , 7 , 4 5 6 7 , 4 , 4338 1121 1273 1345 , 8075
Group B , 114918 , test , 7 , 4 , 7 1 2 3 4 , 5 , 4313 1120 1257 1114 1274 , 9079
Group B , 114918 , test , 4 , 7 , 4 5 6 7 , 4 , 4325 1241 1174 1715 , 8454
Group B , 114918 , test , 2 , 6 , 2 3 4 5 6 , 5 , 4327 1241 1173 1247 1342 , 9331
Group B , 114918 , test , 6 , 2 , 6 7 1 2 , 4 , 4335 1218 1161 1272 , 7985
Group B , 114918 , test , 6 , 2 , 6 7 1 2 , 4 , 4339 1455 1575 2020 , 9390
Group B , 114918 , test , 2 , 6 , 2 3 4 5 6 , 5 , 4319 1187 1331 1251 1358 , 9446
Group B , 114918 , test , 7 , 4 , 7 1 2 3 4 , 5 , 4333 1266 1424 1179 1317 , 9519
Group B , 114918 , test , 4 , 7 , 4 5 6 7 , 4 , 4329 1303 1470 1279 , 8381
Group B , 114918 , test , 2 , 6 , 2 3 4 5 6 , 5 , 4340 1215 1185 1150 1266 , 9156
