Group, ID, Type, Displayed, Goals, Path, Length, RT_Path, Final_RT
Group B , 101491 , training , 7 , 4 , 7 1 2 3 4 , 5 , 133855 2671 2198 2201 2432 , 144561
Group B , 101491 , training , 4 , 7 , 4 5 4 3 2 1 7 , 7 , 6537 9717 1973 1690 2324 1596 2146 , 25980
Group B , 101491 , training , 2 , 1 , 2 1 , 2 , 4774 1901 , 6676
Group B , 101491 , training , 6 , 2 , 6 7 1 2 , 4 , 4586 2056 1783 1819 , 10242
Group B , 101491 , training , 2 , 1 , 2 1 , 2 , 4579 1887 , 6467
Group B , 101491 , training , 5 , 2 , 5 6 7 1 2 , 5 , 4870 1871 1651 2142 1911 , 12445
Group B , 101491 , training , 5 , 7 , 5 6 7 , 3 , 4784 1631 1992 , 8407
Group B , 101491 , training , 5 , 2 , 5 6 7 1 2 , 5 , 5745 1914 1784 1970 1927 , 13339
Group B , 101491 , training , 3 , 2 , 3 2 , 2 , 4620 1814 , 6435
Group B , 101491 , training , 2 , 4 , 2 3 4 , 3 , 4341 1897 1847 , 8085
Group B , 101491 , training , 1 , 6 , 1 7 6 , 3 , 4774 1634 2050 , 8458
Group B , 101491 , training , 4 , 6 , 4 5 6 , 3 , 4591 1719 1759 , 8069
Group B , 101491 , training , 6 , 3 , 6 5 4 5 6 7 1 2 3 , 9 , 4560 2529 2733 1891 1921 1675 1610 1691 1948 , 20559
Group B , 101491 , training , 5 , 7 , 5 6 7 , 3 , 4407 1969 1577 , 7952
Group B , 101491 , training , 2 , 4 , 2 3 2 1 7 6 5 4 , 8 , 5468 1736 2005 1803 1783 1763 1684 1871 , 18113
Group B , 101491 , training , 7 , 4 , 7 1 2 3 4 , 5 , 4553 1833 1658 1601 2076 , 11721
Group B , 101491 , training , 4 , 3 , 4 3 , 2 , 4342 1810 , 6152
Group B , 101491 , training , 6 , 2 , 6 5 4 3 2 , 5 , 4324 1716 1916 2130 1679 , 11765
Group B , 101491 , training , 1 , 3 , 1 2 3 , 3 , 4945 1949 1944 , 8838
Group B , 101491 , training , 7 , 3 , 7 6 5 4 3 , 5 , 4711 1594 1734 1726 1690 , 11455
Group B , 101491 , training , 2 , 1 , 2 1 , 2 , 4613 1808 , 6421
Group B , 101491 , training , 2 , 3 , 2 3 , 2 , 5423 1888 , 7311
Group B , 101491 , training , 1 , 5 , 1 2 3 4 5 , 5 , 5417 1748 2478 3896 1706 , 15245
Group B , 101491 , training , 6 , 5 , 6 7 1 7 6 5 , 6 , 4567 1688 1932 1862 1618 1773 , 13440
Group B , 101491 , training , 7 , 2 , 7 6 5 4 3 2 , 6 , 4709 1944 1717 1600 2314 1736 , 14019
Group B , 101491 , training , 1 , 3 , 1 2 3 , 3 , 4744 1594 1731 , 8070
Group B , 101491 , training , 6 , 7 , 6 7 , 2 , 4662 1836 , 6498
Group B , 101491 , training , 5 , 4 , 5 4 , 2 , 4502 2013 , 6515
Group B , 101491 , training , 5 , 4 , 5 4 , 2 , 4558 1786 , 6344
Group B , 101491 , training , 1 , 4 , 1 2 3 4 , 4 , 4435 1862 1707 1790 , 9794
Group B , 101491 , training , 1 , 6 , 1 7 6 , 3 , 4575 1755 1764 , 8093
Group B , 101491 , training , 5 , 1 , 5 6 7 1 , 4 , 4600 1860 1931 1643 , 10035
Group B , 101491 , training , 6 , 3 , 6 7 1 2 3 , 5 , 4509 1866 1586 1693 1583 , 11236
Group B , 101491 , training , 7 , 5 , 7 1 2 3 4 5 , 6 , 4385 1774 1640 1977 21 1680 , 11477
