Group, ID, Type, Displayed, Goals, Path, Length, RT_Path, Final_RT
Group A , 190869 , training , 4 , 6 , 4 5 4 5 6 , 5 , 107018 3 2650 2 973 1 488 3 237 2 542 498 34 34 290 1440 1793 1511 1448 2 838 1288 1530 1806 2192 1 1383 1841 1327 2699 , 135077
Group A , 190869 , training , 6 , 5 , 6 7 1 2 3 4 5 , 7 , 4741 1324 1629 1335 1441 1376 1768 , 13611
Group A , 190869 , training , 2 , 4 , 2 3 4 , 3 , 4351 1473 1967 , 7792
Group A , 190869 , training , 1 , 2 , 1 2 , 2 , 5272 1751 , 7024
Group A , 190869 , training , 2 , 4 , 2 3 4 , 3 , 6795 1428 1857 , 10079
Group A , 190869 , training , 4 , 6 , 4 5 6 , 3 , 36145 1280 1632 , 39057
Group A , 190869 , training , 4 , 6 , 4 5 6 , 3 , 6042 1478 1784 , 9304
Group A , 190869 , training , 2 , 4 , 2 3 4 , 3 , 4943 1252 2247 , 8442
Group A , 190869 , training , 4 , 6 , 4 5 6 , 3 , 6782 1252 2350 , 10384
Group A , 190869 , training , 2 , 4 , 2 3 4 , 3 , 5885 1319 1529 , 8734
Group A , 190869 , training , 4 , 6 , 4 5 6 , 3 , 6418 1360 1471 , 9248
Group A , 190869 , training , 1 , 2 , 1 2 , 2 , 5976 1682 , 7658
Group A , 190869 , training , 7 , 1 , 7 1 , 2 , 5557 1560 , 7117
Group A , 190869 , training , 2 , 4 , 2 3 4 , 3 , 6034 2023 1416 , 9473
Group A , 190869 , training , 4 , 6 , 4 5 6 , 3 , 4870 1577 1819 , 8267
Group A , 190869 , training , 2 , 4 , 2 3 4 , 3 , 7669 2442 1495 , 11605
Group A , 190869 , training , 2 , 4 , 2 3 4 , 3 , 5895 1856 1425 , 9177
Group A , 190869 , training , 2 , 4 , 2 3 4 , 3 , 71665 1518 2144 , 75326
Group A , 190869 , training , 2 , 4 , 2 3 4 , 3 , 8161 5281 2366 , 15808
Group A , 190869 , training , 2 , 4 , 2 3 4 , 3 , 7785 1151 1687 , 10625
Group A , 190869 , training , 4 , 6 , 4 5 6 , 3 , 12731 2724 2857 , 18310
Group A , 190869 , training , 4 , 6 , 4 5 6 , 3 , 10339 2262 1760 , 14361
Group A , 190869 , training , 4 , 6 , 4 5 6 , 3 , 5800 1705 1647 , 9151
Group A , 190869 , training , 2 , 4 , 2 3 4 , 3 , 5183 1489 2026 , 8698
Group A , 190869 , training , 4 , 6 , 4 5 6 , 3 , 5133 1720 2137 , 8990
Group A , 190869 , training , 4 , 6 , 4 5 6 , 3 , 6143 1624 1776 , 9544
Group A , 190869 , training , 2 , 4 , 2 3 4 , 3 , 5946 1709 1857 , 9512
Group A , 190869 , training , 4 , 6 , 4 5 6 , 3 , 31584 1697 2206 , 35489
Group A , 190869 , training , 4 , 6 , 4 5 6 , 3 , 6025 2114 1806 , 9944
Group A , 190869 , training , 2 , 4 , 2 3 4 , 3 , 6008 1505 1976 , 9488
Group A , 190869 , training , 2 , 4 , 2 3 4 , 3 , 5294 17923 1 16816 1820 , 41855
Group A , 190869 , training , 2 , 4 , 2 3 4 , 3 , 7129 2657 1822 , 11608
Group A , 190869 , training , 4 , 6 , 4 5 6 , 3 , 12226 2293 2785 , 17303
Group A , 190869 , training , 4 , 6 , 4 5 6 , 3 , 6568 1206 1297 , 9072
Group A , 190869 , training , 3 , 2 , 3 4 5 6 7 1 2 , 7 , 44163 1614 2176 1632 1752 1487 1648 , 54471
Group A , 190869 , test , 2 , 6 , 2 3 4 5 6 , 5 , 8457 1424 2042 2246 3007 , 17177
Group A , 190869 , test , 4 , 7 , 4 5 6 7 , 4 , 5512 1432 7105 2887 , 16935
Group A , 190869 , test , 6 , 2 , 6 7 1 2 , 4 , 7449 1546 2254 2096 , 13345
Group A , 190869 , test , 7 , 4 , 7 1 2 3 4 , 5 , 8313 1966 1641 1760 2167 , 15848
Group A , 190869 , test , 6 , 2 , 6 7 1 2 , 4 , 4546 2271 1911 1888 , 10615
Group A , 190869 , test , 2 , 6 , 2 3 4 5 6 , 5 , 10979 2165 5992 1215 1660 , 22012
Group A , 190869 , test , 4 , 7 , 4 5 6 7 , 4 , 7226 32155 2114 6366 , 47861
Group A , 190869 , test , 7 , 4 , 7 1 2 3 4 , 5 , 5921 2893 1737 2521 2088 , 15159
Group A , 190869 , test , 6 , 2 , 6 7 1 2 , 4 , 8865 1790 2089 1904 , 14647
Group A , 190869 , test , 2 , 6 , 2 3 4 5 6 , 5 , 5713 1495 1967 1704 2295 , 13176
Group A , 190869 , test , 4 , 7 , 4 5 6 7 , 4 , 6041 1719 1793 1872 , 11425
Group A , 190869 , test , 7 , 4 , 7 1 2 3 4 , 5 , 7746 1253 1504 1483 1694 , 13680
Group A , 190869 , test , 2 , 6 , 2 3 4 5 6 , 5 , 6671 1665 1656 1489 1599 , 13080
Group A , 190869 , test , 6 , 2 , 6 7 1 2 , 4 , 5908 1218 1706 1863 , 10696
Group A , 190869 , test , 7 , 4 , 7 1 2 3 4 , 5 , 6195 1878 1368 2208 16592 , 28238
Group A , 190869 , test , 4 , 7 , 4 5 6 7 , 4 , 6570 5805 1592 4457 , 18427
Group A , 190869 , test , 7 , 4 , 7 1 2 3 4 , 5 , 14956 1660 1976 1840 2432 , 22861
Group A , 190869 , test , 2 , 6 , 2 3 4 5 6 , 5 , 7515 1237 1623 1440 1617 , 13433
Group A , 190869 , test , 4 , 7 , 4 5 6 7 , 4 , 8857 1622 1657 1687 , 13824
Group A , 190869 , test , 6 , 2 , 6 7 1 2 , 4 , 7010 1313 1237 2137 , 11696

Group A , 190869 , training , 4 , 5 , 4 5 , 2 , 13207 1767 , 14974
Group A , 190869 , training , 4 , 6 , 4 5 6 , 3 , 5042 2791 1535 , 9369
Group A , 190869 , training , 2 , 4 , 2 3 4 , 3 , 6521 1799 18040 1786 1862 , 30007
