Group, ID, Type, Displayed, Goals, Path, Length, RT_Path, Final_RT
Group A , 149826 , training , 3 , 7 , 3 2 3 2 1 7 , 6 , 119354 4663 128 218 3027 2829 3 1531 5 1227 2751 2693 830 , 140462
Group A , 149826 , training , 2 , 4 , 2 1 7 6 5 4 , 6 , 5714 4480 8 1350 2567 2894 2276 2746 , 22033
Group A , 149826 , training , 2 , 4 , 2 1 7 6 5 4 , 6 , 5894 2513 2588 2911 2812 2449 , 19167
Group A , 149826 , training , 7 , 6 , 7 6 , 2 , 4499 2789 , 7298
Group A , 149826 , training , 4 , 6 , 4 3 2 1 7 6 , 6 , 32601 2699 3419 2449 2458 3330 , 46947
Group A , 149826 , training , 4 , 6 , 4 3 2 1 7 6 , 6 , 5721 2495 2620 2426 2499 2771 , 18533
Group A , 149826 , training , 2 , 4 , 2 1 7 6 5 4 , 6 , 4724 2598 2413 2658 2642 2786 , 17819
Group A , 149826 , training , 4 , 6 , 4 5 6 , 3 , 4853 2760 2743 , 10356
Group A , 149826 , training , 4 , 6 , 4 5 6 , 3 , 6096 2494 3174 , 11765
Group A , 149826 , training , 4 , 6 , 4 5 6 , 3 , 4745 2549 2870 , 10163
Group A , 149826 , training , 2 , 4 , 2 3 4 , 3 , 4998 2384 2780 , 10164
Group A , 149826 , training , 2 , 4 , 2 3 4 , 3 , 5726 2197 3401 , 11322
Group A , 149826 , training , 2 , 4 , 2 3 4 , 3 , 56590 2958 3673 , 63221
Group A , 149826 , training , 2 , 4 , 2 3 4 , 3 , 4812 2607 3507 , 10926
Group A , 149826 , training , 2 , 4 , 2 3 4 , 3 , 5686 2337 2665 , 10688
Group A , 149826 , training , 7 , 5 , 7 1 2 3 4 5 , 6 , 4656 2700 3845 29 2741 2629 , 16600
Group A , 149826 , training , 4 , 6 , 4 3 2 1 7 6 , 6 , 4920 3908 2962 2505 2964 2694 , 19955
Group A , 149826 , training , 7 , 1 , 7 6 5 4 3 2 1 , 7 , 5816 2619 2645 2654 2617 2703 2397 2048 2720 , 26217
Group A , 149826 , training , 2 , 4 , 2 3 4 , 3 , 4664 2599 2776 , 10039
Group A , 149826 , training , 4 , 6 , 4 5 6 , 3 , 6027 2282 2973 , 11282
Group A , 149826 , training , 4 , 6 , 4 5 6 , 3 , 49394 2595 3156 , 55146
Group A , 149826 , training , 2 , 4 , 2 1 7 1 2 3 4 , 7 , 5310 3000 2545 2893 3379 3217 3998 , 24342
Group A , 149826 , training , 4 , 6 , 4 5 6 , 3 , 5670 2303 2638 3206 2542 , 16358
Group A , 149826 , training , 2 , 4 , 2 3 4 , 3 , 5784 2292 2397 2442 2544 , 15460
Group A , 149826 , training , 2 , 4 , 2 3 4 , 3 , 6122 2130 3117 , 11368
Group A , 149826 , training , 4 , 6 , 4 5 6 , 3 , 5011 2335 3171 , 10516
Group A , 149826 , training , 2 , 4 , 2 3 4 , 3 , 5792 2193 3237 , 11224
Group A , 149826 , training , 4 , 6 , 4 5 6 , 3 , 5133 2540 3100 , 10772
Group A , 149826 , training , 4 , 6 , 4 5 6 , 3 , 4884 2569 13822 , 21275
Group A , 149826 , training , 5 , 2 , 5 6 7 1 2 , 5 , 4898 2641 2803 48 2625 , 13016
Group A , 149826 , training , 4 , 6 , 4 5 6 , 3 , 5621 2093 2999 , 10712
Group A , 149826 , training , 4 , 6 , 4 5 6 , 3 , 5720 2336 2406 , 10463
Group A , 149826 , training , 2 , 4 , 2 3 4 , 3 , 4907 2447 2767 , 10121
Group A , 149826 , training , 4 , 6 , 4 5 6 , 3 , 4743 3832 2964 , 11537
Group A , 149826 , training , 2 , 4 , 2 3 4 , 3 , 5728 2501 3110 , 11340
Group A , 149826 , test , 2 , 6 , 2 3 4 5 6 , 5 , 5706 2254 2545 2297 3166 , 15968
Group A , 149826 , test , 4 , 7 , 4 3 2 1 7 , 5 , 4978 2549 2598 2303 3225 , 15653
Group A , 149826 , test , 6 , 2 , 6 5 4 3 2 , 5 , 6010 2643 2568 3014 16 36462 2739 , 53452
Group A , 149826 , test , 7 , 4 , 7 1 2 3 4 , 5 , 4979 2718 2501 2698 2894 , 15790
Group A , 149826 , test , 4 , 7 , 4 5 6 7 , 4 , 4739 2962 2612 2590 , 12902
Group A , 149826 , test , 2 , 6 , 2 3 4 5 6 , 5 , 5812 2548 3075 2557 3347 , 17341
Group A , 149826 , test , 7 , 4 , 7 1 2 3 4 , 5 , 5706 2394 2815 2910 3494 , 17318
Group A , 149826 , test , 6 , 2 , 6 7 1 2 , 4 , 4806 2286 2575 3338 , 13004
Group A , 149826 , test , 4 , 7 , 4 5 6 7 , 4 , 5781 2444 2704 3022 , 13952
Group A , 149826 , test , 7 , 4 , 7 1 2 3 4 , 5 , 4761 2407 2329 2329 3078 , 14906
Group A , 149826 , test , 6 , 2 , 6 7 1 2 , 4 , 29896 2684 2546 2873 , 37997
Group A , 149826 , test , 2 , 6 , 2 3 4 5 6 , 5 , 5077 2547 2554 2480 2740 , 15401
Group A , 149826 , test , 6 , 2 , 6 7 1 2 , 4 , 5894 3031 5 2 2129 2159 2535 2565 2764 2700 2764 , 26545
Group A , 149826 , test , 2 , 6 , 2 3 4 3 2 1 7 6 , 8 , 5949 2599 2395 3414 2858 2812 2404 2526 , 24957
Group A , 149826 , test , 4 , 7 , 4 5 6 7 , 4 , 4687 2593 3019 2497 , 12797
Group A , 149826 , test , 7 , 4 , 7 1 2 3 4 , 5 , 5728 2741 2501 2364 3156 2341 2687 , 21517
Group A , 149826 , test , 7 , 4 , 7 1 2 3 4 , 5 , 5681 38922 2459 4 2671 , 49738
Group A , 149826 , test , 4 , 7 , 4 5 6 7 , 4 , 5753 2514 2635 2533 , 13436
Group A , 149826 , test , 6 , 2 , 6 7 1 2 , 4 , 5118 2343 2325 2950 , 12735
Group A , 149826 , test , 2 , 6 , 2 3 4 5 6 , 5 , 4974 2959 2807 2312 2568 , 15620

Group B , 149826 , training , 1 , 7 , 1 2 3 4 5 6 7 , 7 , 32577 3 2423 2866 2549 2592 2586 2794 2811 , 51205
Group B , 149826 , training , 7 , 5 , 7 1 2 3 4 5 , 6 , 5578 2833 2827 2360 2835 16830 2469 5662 , 41389
Group B , 149826 , training , 6 , 3 , 6 5 4 3 , 4 , 5079 2604 2475 2633 , 12791
Group B , 149826 , training , 4 , 1 , 4 5 6 7 1 , 5 , 4350 2682 2090 2565 2466 , 14153
Group B , 149826 , training , 4 , 7 , 4 5 6 7 , 4 , 4821 2498 2705 4288 , 14311
Group B , 149826 , training , 6 , 2 , 6 7 1 2 , 4 , 4785 2696 3069 2772 , 13323
Group B , 149826 , training , 5 , 4 , 5 4 , 2 , 4811 2350 , 7161
Group B , 149826 , training , 1 , 3 , 1 2 3 , 3 , 5378 3066 26 2524 3703 , 14696
Group B , 149826 , training , 7 , 4 , 7 6 5 4 , 4 , 5219 2338 2965 2516 , 13039
Group B , 149826 , training , 3 , 5 , 3 4 5 , 3 , 4558 2364 2363 , 9288
Group B , 149826 , training , 3 , 1 , 3 2 1 , 3 , 19433 2650 2873 , 24955
Group B , 149826 , training , 7 , 4 , 7 6 5 4 , 4 , 4919 2409 2140 2812 , 12279
Group B , 149826 , training , 3 , 2 , 3 2 , 2 , 4851 2805 , 7655
Group B , 149826 , training , 6 , 7 , 6 7 , 2 , 4761 2704 , 7465
Group B , 149826 , training , 4 , 1 , 4 3 2 1 , 4 , 4767 2547 2598 2545 , 12457
Group B , 149826 , training , 3 , 5 , 3 4 5 , 3 , 4523 2645 2786 , 9956
Group B , 149826 , training , 7 , 6 , 7 6 , 2 , 4644 2339 , 6982
Group B , 149826 , training , 2 , 7 , 2 1 7 , 3 , 4849 2300 2459 , 9608
Group B , 149826 , training , 1 , 3 , 1 2 3 , 3 , 4660 2093 3010 , 9763
Group B , 149826 , training , 7 , 6 , 7 6 , 2 , 4950 2177 , 7127
Group B , 149826 , training , 1 , 5 , 1 7 6 5 , 4 , 4794 2406 2550 2827 , 12576
Group B , 149826 , training , 2 , 4 , 2 3 4 , 3 , 4806 2457 2378 , 9641
Group B , 149826 , training , 1 , 5 , 1 7 6 5 , 4 , 42487 2798 6 2190 , 47483
Group B , 149826 , training , 5 , 7 , 5 6 7 , 3 , 5792 2653 3834 , 12279
Group B , 149826 , training , 3 , 5 , 3 4 5 , 3 , 4725 2499 5617 , 12838
Group B , 149826 , training , 1 , 4 , 1 2 3 4 , 4 , 4687 2309 2240 2647 , 11884
Group B , 149826 , training , 2 , 4 , 2 3 4 , 3 , 4708 2343 15 2061 2436 2451 3857 , 17871
Group B , 149826 , training , 5 , 2 , 5 4 3 2 , 4 , 5597 2293 2462 2943 , 13295
Group B , 149826 , training , 7 , 5 , 7 6 5 , 3 , 4619 2290 2887 , 9797
Group B , 149826 , training , 5 , 6 , 5 6 , 2 , 4487 2695 931 1228 , 9340
Group B , 149826 , training , 5 , 7 , 5 6 7 , 3 , 5538 4478 6353 , 16368
Group B , 149826 , training , 5 , 3 , 5 4 3 , 3 , 36245 2699 2703 , 41648
Group B , 149826 , training , 5 , 7 , 5 6 7 , 3 , 4672 2039 3125 , 9836
Group B , 149826 , training , 4 , 3 , 4 3 , 2 , 4712 2524 , 7237
Group B , 149826 , training , 1 , 7 , 1 7 , 2 , 4667 2579 , 7244
Group B , 149826 , test , 2 , 6 , 2 1 7 6 , 4 , 5149 2595 2559 2825 , 13129
Group B , 149826 , test , 4 , 7 , 4 5 6 7 , 4 , 4610 2858 3055 3245 , 13769
Group B , 149826 , test , 7 , 4 , 7 6 5 4 , 4 , 4439 2643 2500 2769 , 12351
Group B , 149826 , test , 7 , 4 , 7 6 5 4 , 4 , 4602 2868 2547 2407 , 12423
Group B , 149826 , test , 6 , 2 , 6 7 1 2 , 4 , 4649 2343 2449 3335 , 12776
Group B , 149826 , test , 2 , 6 , 2 1 7 6 , 4 , 4722 2758 2752 2723 , 12956
Group B , 149826 , test , 4 , 7 , 4 5 6 7 , 4 , 4692 2946 33617 859 18 3096 36 50 35 54 54 43 51 51 51 54 319 501 56 51 47 51 53 51 51 75 54 51 52 50 133 400 163 164 2967 2604 4596 , 58195
Group B , 149826 , test , 2 , 6 , 2 1 7 6 , 4 , 5681 2140 2497 2707 , 13026
Group B , 149826 , test , 4 , 7 , 4 5 6 7 , 4 , 4621 2590 2403 2693 , 12307
Group B , 149826 , test , 7 , 4 , 7 6 5 4 , 4 , 4700 2499 2397 2564 , 12160
Group B , 149826 , test , 6 , 2 , 6 7 1 2 , 4 , 4607 2708 3001 2233 , 12547
Group B , 149826 , test , 2 , 6 , 2 1 7 6 , 4 , 4786 2031 2354 2360 , 11533
Group B , 149826 , test , 7 , 4 , 7 6 5 4 , 4 , 5607 1894 2488 2479 , 12467
Group B , 149826 , test , 4 , 7 , 4 5 6 7 , 4 , 5015 66846 2361 2680 , 76902
Group B , 149826 , test , 6 , 2 , 6 7 1 2 , 4 , 4323 2603 2358 2764 , 12048
Group B , 149826 , test , 6 , 2 , 6 7 1 2 , 4 , 5142 3023 3112 3118 , 14396
Group B , 149826 , test , 4 , 7 , 4 5 6 7 , 4 , 6599 2925 2688 2988 , 15202
Group B , 149826 , test , 2 , 6 , 2 3 4 5 6 , 5 , 4620 2747 12 2608 2260 , 12244
Group B , 149826 , test , 7 , 4 , 7 6 5 4 , 4 , 4788 2464 3275 2761 , 13289
Group B , 149826 , test , 7 , 4 , 7 6 5 4 , 4 , 4701 2938 2504 3067 , 13209
