Group, ID, Type, Displayed, Goals, Path, Length, RT_Path, Final_RT
Group B , 141263 , training , 4 , 5 , 4 3 2 1 7 6 5 , 7 , 61481 1231 1328 1224 1296 1232 1513 456 264 728 191 288 1456 13073 1087 1087 1086 1013 1244 1011 1688 1247 6322 1087 1091 1269 687 1040 1170 1089 1477 321 1353 , 113332
Group B , 141263 , training , 6 , 4 , 6 5 4 , 3 , 4612 1093 2359 , 8062
Group B , 141263 , training , 5 , 4 , 5 4 , 2 , 6351 1808 , 8162
Group B , 141263 , training , 4 , 5 , 4 3 2 1 7 6 5 , 7 , 4441 1083 22598 1086 1008 1084 1853 , 33156
Group B , 141263 , training , 6 , 2 , 6 5 4 3 2 , 5 , 4545 1087 1009 1084 1987 , 9708
Group B , 141263 , training , 7 , 1 , 7 6 5 4 3 2 1 , 7 , 4721 1083 1086 1231 1018 1071 1886 , 12097
Group B , 141263 , training , 3 , 2 , 3 2 , 2 , 4811 1886 , 6696
Group B , 141263 , training , 1 , 7 , 1 7 , 2 , 4703 1833 , 6536
Group B , 141263 , training , 2 , 1 , 2 1 , 2 , 4665 1631 , 6299
Group B , 141263 , training , 4 , 1 , 4 3 2 1 , 4 , 4856 1006 1085 1726 , 8669
Group B , 141263 , training , 2 , 4 , 2 1 7 6 5 4 , 6 , 5327 1088 1086 1085 1087 1463 , 11136
Group B , 141263 , training , 6 , 5 , 6 5 , 2 , 4640 1624 , 6265
Group B , 141263 , training , 2 , 1 , 2 1 , 2 , 5073 1527 , 6600
Group B , 141263 , training , 6 , 1 , 6 5 4 3 2 1 , 6 , 5888 1086 1097 1080 1085 1684 , 11920
Group B , 141263 , training , 6 , 2 , 6 5 4 3 2 , 5 , 4601 1092 1248 1086 1757 , 9784
Group B , 141263 , training , 4 , 7 , 4 3 2 1 7 , 5 , 5017 1084 1009 1082 13410 , 21601
Group B , 141263 , training , 2 , 6 , 2 1 7 6 , 4 , 4839 1087 1169 1743 , 8840
Group B , 141263 , training , 4 , 3 , 4 3 , 2 , 4832 1626 , 6456
Group B , 141263 , training , 4 , 2 , 4 3 2 , 3 , 5287 1086 1642 , 8015
Group B , 141263 , training , 1 , 5 , 1 7 6 5 , 4 , 4833 1087 1084 1652 , 8656
Group B , 141263 , training , 3 , 2 , 3 2 , 2 , 4672 1368 , 6041
Group B , 141263 , training , 3 , 5 , 3 2 1 7 6 5 , 6 , 5440 1168 1087 1174 1010 1721 , 11601
Group B , 141263 , training , 6 , 1 , 6 5 4 3 2 1 , 6 , 4915 1006 1165 1339 1086 1641 , 11151
Group B , 141263 , training , 4 , 6 , 4 3 2 1 7 6 , 6 , 4914 1085 1093 1172 1014 1780 , 11057
Group B , 141263 , training , 6 , 5 , 6 5 , 2 , 4545 1550 , 6096
Group B , 141263 , training , 6 , 7 , 6 5 4 3 2 1 7 , 7 , 4589 1171 1089 1311 1094 1083 1824 , 12160
Group B , 141263 , training , 3 , 2 , 3 2 , 2 , 4791 1009 1512 1271 1241 1552 , 11377
Group B , 141263 , training , 1 , 6 , 1 7 6 , 3 , 4951 1584 1866 , 8402
Group B , 141263 , training , 7 , 6 , 7 6 , 2 , 17256 1823 , 19077
Group B , 141263 , training , 5 , 1 , 5 4 3 2 1 , 5 , 5320 1128 1092 1081 1907 , 10529
Group B , 141263 , training , 7 , 3 , 7 6 5 4 3 , 5 , 5041 1264 1087 1086 1087 1380 1904 , 12851
Group B , 141263 , training , 5 , 6 , 5 4 3 2 1 7 6 , 7 , 4945 1086 1087 1170 1086 1418 1856 , 12645
Group B , 141263 , training , 2 , 1 , 2 1 , 2 , 4634 1423 , 6057
Group B , 141263 , training , 3 , 4 , 3 2 1 7 6 5 4 , 7 , 4767 1088 1087 1175 1087 1012 1783 , 12000
Group B , 141263 , training , 3 , 2 , 3 2 , 2 , 4984 1489 , 6473
Group B , 141263 , test , 2 , 6 , 2 1 7 6 , 4 , 4888 1008 1086 1665 , 8646
Group B , 141263 , test , 4 , 7 , 4 3 2 1 7 , 5 , 5177 1168 1087 1088 1769 , 10293
Group B , 141263 , test , 6 , 2 , 6 5 4 3 2 , 5 , 4768 1086 1010 1085 1876 , 9824
Group B , 141263 , test , 7 , 4 , 7 6 5 4 , 4 , 4927 1087 1087 1738 , 8837
Group B , 141263 , test , 6 , 2 , 6 5 4 3 2 , 5 , 4712 1171 1089 1090 1619 , 9681
Group B , 141263 , test , 7 , 4 , 7 6 5 4 , 4 , 4608 1084 1084 1592 , 8368
Group B , 141263 , test , 2 , 6 , 2 1 7 6 , 4 , 4415 1086 1088 1668 , 8256
Group B , 141263 , test , 4 , 7 , 4 3 2 1 7 , 5 , 4793 1083 1102 1075 1086 1500 1688 , 12328
Group B , 141263 , test , 6 , 2 , 6 5 4 3 2 , 5 , 4749 1619 1085 1085 1878 , 10415
Group B , 141263 , test , 7 , 4 , 7 6 5 4 , 4 , 4785 1088 1086 1730 , 8689
Group B , 141263 , test , 2 , 6 , 2 1 7 6 , 4 , 4800 1087 1168 1849 , 8905
Group B , 141263 , test , 4 , 7 , 4 3 2 1 7 , 5 , 4776 1086 1169 1174 1907 , 10112
Group B , 141263 , test , 6 , 2 , 6 5 4 3 2 , 5 , 4896 1093 1173 1085 1865 , 10111
Group B , 141263 , test , 4 , 7 , 4 3 2 1 7 , 5 , 4872 1087 1172 1425 1174 1072 1726 , 12529
Group B , 141263 , test , 2 , 6 , 2 1 7 6 , 4 , 5121 1172 1388 2167 , 9849
Group B , 141263 , test , 7 , 4 , 7 6 5 4 , 4 , 4449 1085 1092 1839 , 8463
Group B , 141263 , test , 7 , 4 , 7 6 5 4 , 4 , 4656 1169 1089 1798 , 8712
Group B , 141263 , test , 2 , 6 , 2 1 7 6 , 4 , 4920 1083 1089 1965 , 9057
Group B , 141263 , test , 4 , 7 , 4 3 2 1 7 , 5 , 6951 2481 1424 1087 2153 , 14095
Group B , 141263 , test , 6 , 2 , 6 5 4 3 2 , 5 , 5383 1087 1090 1171 1900 , 10634

Group B , 141263 , training , 7 , 3 , 7 6 5 4 3 , 5 , 58026 1172 1164 1344 2216 , 63921
Group B , 141263 , training , 4 , 1 , 4 3 2 1 , 4 , 5049 1086 1174 1169 1447 1667 , 11593
Group B , 141263 , training , 1 , 4 , 1 2 3 4 , 4 , 4541 1170 1175 1978 , 8864
Group B , 141263 , training , 7 , 3 , 7 6 5 4 3 , 5 , 4944 1411 1178 1158 1085 1552 2977 , 14304
Group B , 141263 , training , 5 , 7 , 5 4 3 2 1 7 , 6 , 4628 1088 1090 1085 1501 1172 1332 1377 , 13272
Group B , 141263 , training , 6 , 4 , 6 5 4 , 3 , 4791 1085 2011 , 7889
Group B , 141263 , training , 3 , 5 , 3 2 1 7 6 5 , 6 , 4698 1167 1086 1175 1173 2190 , 11486
Group B , 141263 , training , 3 , 4 , 3 2 1 7 6 5 4 , 7 , 4556 1177 1014 1156 1086 1170 1776 , 11941
Group B , 141263 , training , 7 , 5 , 7 6 5 , 3 , 4697 1256 1089 1197 1738 , 9975
Group B , 141263 , training , 1 , 2 , 1 7 6 5 4 3 2 , 7 , 4729 1087 1170 1175 1286 1172 1837 , 12454
Group B , 141263 , training , 6 , 2 , 6 5 4 3 2 , 5 , 5289 1086 1171 1010 1877 , 10432
Group B , 141263 , training , 1 , 3 , 1 7 6 5 4 3 , 6 , 5088 1085 1194 1088 1169 1704 , 11329
Group B , 141263 , training , 7 , 4 , 7 6 5 4 , 4 , 4864 1171 1088 1094 1223 1584 , 11024
Group B , 141263 , training , 6 , 2 , 6 5 4 3 2 , 5 , 4465 1086 1093 1089 1955 , 9688
