group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,160989,train,2,1,2 3 4 5 6 7 8 9 10 1,10,3632 518 258 237 225 1172 259 311 274 582 299 271 249 636 1124,38 38 38 38 38 37 37 37 37 40 40 40 40 39 32,10047,1542204676.322,Wed Nov 14 2018 09:11:16 GMT-0500 (Eastern Standard Time)
A,160989,train,4,6,4 5 6 5 4 3 2 1 10 9 8 7 6,13,3527 1094 3904 1563 271 277 217 205 833 228 207 201 213 355 291 226 230 190 356 1201,38 37 39 40 40 40 40 40 37 37 37 37 37 38 38 38 38 38 39 32,15589,1542204694.947,Wed Nov 14 2018 09:11:34 GMT-0500 (Eastern Standard Time)
A,160989,train,10,7,10 9 8 7,4,3702 280 293 289 1016,38 38 38 38 32,5580,1542204703.55,Wed Nov 14 2018 09:11:43 GMT-0500 (Eastern Standard Time)
A,160989,train,3,8,3 4 5 6 7 8,6,3497 306 614 330 801 284 450 516 809,38 38 38 38 37 37 37 40 32,7607,1542204714.171,Wed Nov 14 2018 09:11:54 GMT-0500 (Eastern Standard Time)
A,160989,train,10,7,10 9 8 7,4,2069 306 313 359 390,38 38 38 38 32,3437,1542204720.633,Wed Nov 14 2018 09:12:00 GMT-0500 (Eastern Standard Time)
A,160989,train,10,7,10 1 2 3 4 5 6 7,8,1581 297 383 403 243 234 234 285 290 275 273 460,39 39 39 38 38 38 38 38 37 37 37 32,4958,1542204728.611,Wed Nov 14 2018 09:12:08 GMT-0500 (Eastern Standard Time)
A,160989,train,1,3,1 2 3,3,3611 602 546,39 38 32,4759,1542204736.396,Wed Nov 14 2018 09:12:16 GMT-0500 (Eastern Standard Time)
A,160989,train,10,7,10 9 8 7,4,3127 290 575 792,38 38 38 32,4784,1542204744.198,Wed Nov 14 2018 09:12:24 GMT-0500 (Eastern Standard Time)
A,160989,train,9,8,9 10 1 2 3 4 5 6 7 8,10,2726 750 297 268 429 352 300 223 456 322 313 325 726,40 39 39 39 38 38 38 38 37 37 37 40 32,7487,1542204754.708,Wed Nov 14 2018 09:12:34 GMT-0500 (Eastern Standard Time)
A,160989,train,4,6,4 5 6,3,2308 670 564,38 37 32,3542,1542204761.261,Wed Nov 14 2018 09:12:41 GMT-0500 (Eastern Standard Time)
A,160989,train,4,6,4 3 2 1 10 9 8 7 6,9,1908 380 285 391 370 271 435 364 277 285 258 239 636,40 40 40 37 37 37 38 38 38 38 38 39 32,6099,1542204770.372,Wed Nov 14 2018 09:12:50 GMT-0500 (Eastern Standard Time)
A,160989,train,4,6,4 5 6,3,1638 512 486,38 37 32,2636,1542204776.022,Wed Nov 14 2018 09:12:56 GMT-0500 (Eastern Standard Time)
A,160989,train,4,6,4 5 6,3,1471 354 333,38 37 32,2158,1542204781.207,Wed Nov 14 2018 09:13:01 GMT-0500 (Eastern Standard Time)
A,160989,train,1,3,1 2 3,3,1236 1509 594 879,40 39 38 32,4218,1542204788.452,Wed Nov 14 2018 09:13:08 GMT-0500 (Eastern Standard Time)
A,160989,train,4,6,4 5 6,3,3247 486 675,38 37 32,4408,1542204795.874,Wed Nov 14 2018 09:13:15 GMT-0500 (Eastern Standard Time)
A,160989,train,1,3,1 10 9 8 7 6 5 4 3 2 3,11,2387 652 323 227 267 435 331 294 297 304 473 723 718,37 38 38 38 38 39 39 39 40 40 40 38 32,7431,1542204806.327,Wed Nov 14 2018 09:13:26 GMT-0500 (Eastern Standard Time)
A,160989,train,8,6,8 7 6,3,1831 633 489,38 39 32,2953,1542204812.302,Wed Nov 14 2018 09:13:32 GMT-0500 (Eastern Standard Time)
A,160989,train,4,6,4 3 2 1 10 9 8 7 6,9,3071 367 360 300 308 324 323 330 286 248 281 624,40 40 40 37 37 37 38 38 38 38 39 32,6822,1542204822.145,Wed Nov 14 2018 09:13:42 GMT-0500 (Eastern Standard Time)
A,160989,train,2,5,2 3 4 5,4,13384 311 270 479 902,38 38 38 38 32,15346,1542204840.498,Wed Nov 14 2018 09:14:00 GMT-0500 (Eastern Standard Time)
A,160989,train,8,2,8 9 10 1 2,5,5397 366 318 315 368 682,40 40 40 39 39 32,7446,1542204850.969,Wed Nov 14 2018 09:14:10 GMT-0500 (Eastern Standard Time)
A,160989,train,10,7,10 9 8 7,4,6696 367 302 452 517,38 38 38 38 32,8334,1542204862.313,Wed Nov 14 2018 09:14:22 GMT-0500 (Eastern Standard Time)
A,160989,train,1,3,1 10 9 8 7 6 5 4 3 2 3,11,2787 376 286 208 213 392 223 203 583 311 773 633 856,37 38 38 38 38 39 39 39 40 40 40 38 32,7844,1542204873.163,Wed Nov 14 2018 09:14:33 GMT-0500 (Eastern Standard Time)
A,160989,train,7,5,7 6 5,3,2943 290 684,39 39 32,3917,1542204880.094,Wed Nov 14 2018 09:14:40 GMT-0500 (Eastern Standard Time)
A,160989,train,8,5,8 7 6 5,4,1488 450 408 361 616,38 38 39 39 32,3323,1542204886.436,Wed Nov 14 2018 09:14:46 GMT-0500 (Eastern Standard Time)
A,160989,train,4,6,4 5 6,3,2869 695 664,38 37 32,4228,1542204893.682,Wed Nov 14 2018 09:14:53 GMT-0500 (Eastern Standard Time)
A,160989,train,10,7,10 1 2 3 4 5 6 7,8,6213 513 449 322 261 170 449 268 742,39 39 38 38 38 38 37 37 32,9387,1542204906.079,Wed Nov 14 2018 09:15:06 GMT-0500 (Eastern Standard Time)
A,160989,train,1,3,1 10 9 8 7 6 5 4 3,9,26024 342 258 188 231 307 466 273 273 403 268 1201,37 38 38 38 38 38 39 39 39 40 40 32,30234,1542204939.33,Wed Nov 14 2018 09:15:39 GMT-0500 (Eastern Standard Time)
A,160989,train,1,3,1 2 3,3,2667 494 264,39 38 32,3425,1542204945.775,Wed Nov 14 2018 09:15:45 GMT-0500 (Eastern Standard Time)
A,160989,train,5,4,5 4,2,2400 562,40 32,2962,1542204951.761,Wed Nov 14 2018 09:15:51 GMT-0500 (Eastern Standard Time)
A,160989,train,4,6,4 3 2 1 10 9 8 7 6,9,2047 397 216 219 477 445 595 289 361 292 357 303 458 994,40 37 37 37 40 37 37 37 38 38 38 38 39 32,7450,1542204962.222,Wed Nov 14 2018 09:16:02 GMT-0500 (Eastern Standard Time)
A,160989,train,4,6,4 5 6,3,1324 642 827,38 37 32,2793,1542204968.024,Wed Nov 14 2018 09:16:08 GMT-0500 (Eastern Standard Time)
A,160989,train,1,8,1 10 9 8 7 8,6,2997 368 271 494 257 1190 548,37 38 38 38 32 40 32,6125,1542204977.166,Wed Nov 14 2018 09:16:17 GMT-0500 (Eastern Standard Time)
A,160989,train,9,5,9 10 1 2 3 4 5,7,1707 780 451 237 429 663 551 225 562 495,39 40 39 39 39 38 38 38 38 32,6100,1542204986.298,Wed Nov 14 2018 09:16:26 GMT-0500 (Eastern Standard Time)
A,160989,train,1,3,1 2 3,3,1903 911 668,39 38 32,3482,1542204992.8,Wed Nov 14 2018 09:16:32 GMT-0500 (Eastern Standard Time)
A,160989,train,3,5,3 4 5,3,17649 706 402,38 38 32,18757,1542205014.57,Wed Nov 14 2018 09:16:54 GMT-0500 (Eastern Standard Time)
A,160989,train,10,7,10 1 2 3 4 5 6 7,8,2792 412 495 471 1091 12 6 1112 337 537,39 38 39 38 38 38 38 37 37 32,7265,1542205024.842,Wed Nov 14 2018 09:17:04 GMT-0500 (Eastern Standard Time)
A,160989,train,10,7,10 9 8 7,4,1794 262 283 392,38 38 38 32,2731,1542205030.601,Wed Nov 14 2018 09:17:10 GMT-0500 (Eastern Standard Time)
A,160989,train,6,5,6 7 8 9 10 1 2 3 4 5,10,3643 674 315 227 170 212 297 582 403 234 216 225 487,37 40 40 40 40 40 39 39 38 38 38 38 32,7685,1542205041.296,Wed Nov 14 2018 09:17:21 GMT-0500 (Eastern Standard Time)
A,160989,train,10,7,10 9 8 7,4,3003 270 260 224 363,38 38 38 38 32,4120,1542205048.435,Wed Nov 14 2018 09:17:28 GMT-0500 (Eastern Standard Time)
A,160989,train,6,7,6 5 4 3 2 1 10 9 8 7,10,459 4111 993 251 180 233 154 566 271 221 457 282 215 189 540,32 39 40 40 40 40 40 37 37 37 38 38 38 38 32,9122,1542205060.574,Wed Nov 14 2018 09:17:40 GMT-0500 (Eastern Standard Time)
A,160989,train,1,3,1 10 9 8 7 6 5 4 3,9,2501 424 275 206 222 316 303 265 213 567 263 806,37 38 38 38 38 38 39 39 39 40 40 32,6361,1542205069.966,Wed Nov 14 2018 09:17:49 GMT-0500 (Eastern Standard Time)
A,160989,train,1,3,1 2 3,3,2741 390 522,39 38 32,3653,1542205076.622,Wed Nov 14 2018 09:17:56 GMT-0500 (Eastern Standard Time)
A,160989,train,10,7,10 1 2 3 4 5 6 7,8,2298 655 527 296 215 215 434 255 800,39 39 38 38 38 38 37 37 32,5695,1542205085.333,Wed Nov 14 2018 09:18:05 GMT-0500 (Eastern Standard Time)
A,160989,train,1,3,1 2 3,3,2420 481 481,39 38 32,3382,1542205091.729,Wed Nov 14 2018 09:18:11 GMT-0500 (Eastern Standard Time)
A,160989,train,1,3,1 2 3,3,1596 479 509,39 38 32,2584,1542205097.326,Wed Nov 14 2018 09:18:17 GMT-0500 (Eastern Standard Time)
A,160989,train,7,1,7 8 9 10 1,5,3705 614 284 446 480 656,40 40 40 40 39 32,6185,1542205106.524,Wed Nov 14 2018 09:18:26 GMT-0500 (Eastern Standard Time)
A,160989,train,10,7,10 1 2 3 4 5 6 7,8,2253 561 412 241 184 206 171 331 309 933,39 39 38 38 38 38 38 37 37 32,5601,1542205115.138,Wed Nov 14 2018 09:18:35 GMT-0500 (Eastern Standard Time)
A,160989,train,10,7,10 9 8 7,4,1748 350 288 751,38 38 38 32,3137,1542205121.293,Wed Nov 14 2018 09:18:41 GMT-0500 (Eastern Standard Time)
A,160989,train,4,6,4 5 6,3,3194 573 637,38 37 32,4404,1542205128.712,Wed Nov 14 2018 09:18:48 GMT-0500 (Eastern Standard Time)
A,160989,train,4,6,4 3 2 1 10 9 8 7 6,9,4336 320 229 368 238 210 408 237 164 199 174 375 579,40 40 40 37 37 37 38 38 38 38 38 39 32,7837,1542205139.572,Wed Nov 14 2018 09:18:59 GMT-0500 (Eastern Standard Time)
A,160989,train,10,7,10 1 2 3 4 5 6 7,8,5094 514 476 297 226 218 421 315 578,39 39 38 38 38 38 37 37 32,8139,1542205150.722,Wed Nov 14 2018 09:19:10 GMT-0500 (Eastern Standard Time)
A,160989,train,4,6,4 5 6,3,12 2686 515 648,32 38 37 32,3861,1542205157.612,Wed Nov 14 2018 09:19:17 GMT-0500 (Eastern Standard Time)
A,160989,train,1,3,1 10 9 8 7 6 5 4 3 2 3,11,3914 338 254 177 191 173 228 225 174 476 221 201 717 725 685,37 38 38 38 38 38 39 39 39 40 40 40 32 38 32,8699,1542205169.333,Wed Nov 14 2018 09:19:29 GMT-0500 (Eastern Standard Time)
A,160989,train,10,7,10 1 2 3 4 5 6 7,8,3060 265 477 308 258 220 192 379 358 1876 1341,39 39 39 38 38 38 38 37 37 37 32,8734,1542205181.098,Wed Nov 14 2018 09:19:41 GMT-0500 (Eastern Standard Time)
A,160989,train,4,6,4 5 6,3,2833 372 690,38 37 32,3895,1542205188.021,Wed Nov 14 2018 09:19:48 GMT-0500 (Eastern Standard Time)
A,160989,train,1,3,1 2 3,3,2010 501 719,39 38 32,3230,1542205194.269,Wed Nov 14 2018 09:19:54 GMT-0500 (Eastern Standard Time)
A,160989,train,10,7,10 9 8 7,4,4342 251 248 895,38 38 38 32,5736,1542205203.027,Wed Nov 14 2018 09:20:03 GMT-0500 (Eastern Standard Time)
A,160989,train,3,10,3 2 1 10,4,2523 357 1519 807 844 865,39 39 40 37 37 32,6915,1542205212.96,Wed Nov 14 2018 09:20:12 GMT-0500 (Eastern Standard Time)
A,160989,train,1,3,1 2 3,3,2983 597 823,39 38 32,4403,1542205220.374,Wed Nov 14 2018 09:20:20 GMT-0500 (Eastern Standard Time)
A,160989,train,9,8,9 8,2,2883 642,38 32,3525,1542205226.926,Wed Nov 14 2018 09:20:26 GMT-0500 (Eastern Standard Time)
A,160989,train,1,3,1 2 3,3,1795 543 921,39 38 32,3259,1542205233.206,Wed Nov 14 2018 09:20:33 GMT-0500 (Eastern Standard Time)
