group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,139424,train,6,1,6 7 15 16 17 18 10 1,8,322 313 351 509 82 184 281 320 536,37 37 38 38 38 38 39 39 32,2898,1550463324.297,Sun Feb 17 2019 23:15:24 GMT-0500 (Eastern Standard Time)
A,139424,train,13,14,13 4 3 2 11 12 13 14,8,301 360 336 344 559 289 327 545,37 38 38 39 40 40 40 32,3061,1550463333.392,Sun Feb 17 2019 23:15:33 GMT-0500 (Eastern Standard Time)
A,139424,train,18,15,18 17 9 8 7 6 5 14 5 6 7 15,12,286 264 497 319 273 319 121 287 265 463 178 159 175 145 322,40 39 39 40 40 40 39 39 39 37 37 37 37 37 32,4073,1550463343.499,Sun Feb 17 2019 23:15:43 GMT-0500 (Eastern Standard Time)
A,139424,train,14,15,14 5 6 7 15,5,733 329 311 322 486,37 37 37 37 32,2181,1550463352.312,Sun Feb 17 2019 23:15:52 GMT-0500 (Eastern Standard Time)
A,139424,train,11,3,11 2 1 10 18 17 16 15 7 6 5 14 13 12 11 2 1 10 18 17 16 15 16 8 7 6 5 14 13 12 11 12 13 14 13 12 11 2 1 10 9 10 1 2 3 4 3,47,838 225 383 248 192 241 296 248 263 249 80 264 168 232 208 232 175 137 176 183 186 183 168 176 336 248 216 432 288 335 513 240 415 209 232 64 256 153 207 240 168 183 185 168 255 241 263 377 401 415 151 281 136 194 166 160 192 272 288 304 232 240 337 567 264 360 199,37 37 37 37 37 38 40 40 40 40 39 39 39 39 39 38 38 38 38 37 37 37 37 37 38 38 40 37 40 40 38 39 40 40 40 39 39 39 39 38 38 38 38 38 39 40 40 39 40 38 38 38 38 38 37 37 37 40 39 38 39 40 39 40 40 38 32,17134,1550463375.455,Sun Feb 17 2019 23:16:15 GMT-0500 (Eastern Standard Time)
A,139424,train,10,7,10 18 17 9 8 7,6,966 312 280 40 272 255 320,37 40 39 40 40 40 32,2445,1550463384.575,Sun Feb 17 2019 23:16:24 GMT-0500 (Eastern Standard Time)
A,139424,train,2,3,2 3 4 3,4,352 303 360 209,40 40 38 32,1224,1550463391.809,Sun Feb 17 2019 23:16:31 GMT-0500 (Eastern Standard Time)
A,139424,train,4,14,4 13 12 11 2 1 10 18 17 16 15 7 6 5 14,15,311 384 272 335 335 241 288 240 137 359 387 285 232 192 137 279 232 304 225 433,39 39 38 38 37 37 40 40 37 37 40 40 40 40 39 39 39 39 39 32,5608,1550463403.425,Sun Feb 17 2019 23:16:43 GMT-0500 (Eastern Standard Time)
A,139424,train,11,12,11 12 13 12,4,295 384 351 264,40 40 38 32,1294,1550463410.727,Sun Feb 17 2019 23:16:50 GMT-0500 (Eastern Standard Time)
A,139424,train,10,7,10 18 17 16 15 7 6 7,8,905 328 352 272 351 233 335 312,37 40 40 40 39 39 37 32,3088,1550463419.826,Sun Feb 17 2019 23:16:59 GMT-0500 (Eastern Standard Time)
A,139424,train,13,14,13 4 5 14,4,271 336 208 295 336 512,37 37 40 40 39 32,1958,1550463427.792,Sun Feb 17 2019 23:17:07 GMT-0500 (Eastern Standard Time)
