group, subj_id, stage, trial, start, goal, path, length, RTs, keys, valid_keys, RT_tot, timestamp, datetime
A,181129,train,1,2,3,2 3 4 3,4,1459 500 781 1755,40 40 38 32,1 2 3,4495,1551386680.986,Thu Feb 28 2019 14:44:40 GMT-0600 (Central Standard Time)
A,181129,train,2,1,9,1 10 1 2 3 4 3 2 1 2 3 2 1 10 9,15,432 540 529 866 1305 675 641 270 957 1012 562 609 1496 281 585 439 1023 1069,39 39 37 37 40 40 38 38 39 37 37 40 38 38 39 39 40 32,1 3 4 5 6 7 8 9 10 12 13 15 16 17,13291,1551386700.291,Thu Feb 28 2019 14:45:00 GMT-0600 (Central Standard Time)
A,181129,train,3,8,7,8 9 10 1 10 9 8 7,8,402 529 957 844 674 450 473 1182,38 38 37 39 40 40 40 32,1 2 3 4 5 6 7,5511,1551386711.812,Thu Feb 28 2019 14:45:11 GMT-0600 (Central Standard Time)
A,181129,train,4,9,1,9 8 7 6 5 4 3 2 1,9,406 597 561 495 821 518 552 573 833,40 40 37 37 38 38 38 39 32,1 2 3 4 5 6 7 8,5356,1551386723.186,Thu Feb 28 2019 14:45:23 GMT-0600 (Central Standard Time)
A,181129,train,5,1,2,1 10 9 8 7 6 5 4 3 2,10,555 551 597 483 517 698 529 1440 540 495 813,39 40 40 40 40 37 37 38 38 38 32,1 2 3 4 6 7 8 9 10,7218,1551386736.418,Thu Feb 28 2019 14:45:36 GMT-0600 (Central Standard Time)
A,181129,train,6,4,5,4 5 6 5,4,9390 821 844 484,40 39 37 32,1 2 3,11539,1551386753.977,Thu Feb 28 2019 14:45:53 GMT-0600 (Central Standard Time)
A,181129,train,7,4,5,4 5,2,633 652,40 32,1,1285,1551386761.278,Thu Feb 28 2019 14:46:01 GMT-0600 (Central Standard Time)
A,181129,train,8,2,3,2 3,2,558 697,40 32,1,1255,1551386768.546,Thu Feb 28 2019 14:46:08 GMT-0600 (Central Standard Time)
A,181129,train,9,2,3,2 3,2,388 336,40 32,1,724,1551386775.285,Thu Feb 28 2019 14:46:15 GMT-0600 (Central Standard Time)
A,181129,train,10,2,3,2 3,2,667 416,40 32,1,1083,1551386782.383,Thu Feb 28 2019 14:46:22 GMT-0600 (Central Standard Time)
A,181129,train,11,5,6,5 6,2,1923 629,39 32,1,2552,1551386790.956,Thu Feb 28 2019 14:46:30 GMT-0600 (Central Standard Time)
A,181129,train,12,4,5,4 5,2,401 438,40 32,1,839,1551386797.807,Thu Feb 28 2019 14:46:37 GMT-0600 (Central Standard Time)
A,181129,train,13,7,4,7 8 9 8 7 8 7 8 9 10 1 10 9 10 1 2 3 2 3 4,20,497 855 517 776 361 596 585 517 473 944 630 426 587 449 541 742 776 495 483 596 866 428 1136 742 563 495 911 946 900 371 697,38 38 39 40 39 40 39 39 39 38 40 40 38 38 38 37 39 39 40 37 16 16 38 38 37 37 40 38 40 40 32,1 2 4 6 10 11 13 14 15 16 17 19 23 25 26 27 28 29 30,19901,1551386823.727,Thu Feb 28 2019 14:47:03 GMT-0600 (Central Standard Time)
A,181129,train,14,4,1,4 3 2 1,4,600 1766 900 1417,38 38 39 32,1 2 3,4683,1551386834.426,Thu Feb 28 2019 14:47:14 GMT-0600 (Central Standard Time)
A,181129,train,15,3,2,3 2,2,658 540,38 32,1,1198,1551386841.638,Thu Feb 28 2019 14:47:21 GMT-0600 (Central Standard Time)
A,181129,train,16,10,7,10 1 2 3 4 5 6 7,8,576 652 484 597 528 518 461 450 877 687,37 37 37 40 40 40 40 39 39 32,1 2 4 5 6 8 9,5830,1551386853.484,Thu Feb 28 2019 14:47:33 GMT-0600 (Central Standard Time)
A,181129,train,17,2,3,2 3,2,452 1496,40 32,1,1948,1551386861.45,Thu Feb 28 2019 14:47:41 GMT-0600 (Central Standard Time)
A,181129,train,18,5,1,5 6 7 8 9 10 9 8 7 6 5 4 3 2 3 2 1,17,806 899 428 720 405 1047 607 483 485 337 506 607 417 687 461 472 889 472 473 1114 382 326 856 551 652,39 39 39 16 16 38 38 38 38 40 37 40 40 37 37 37 38 38 38 38 38 40 38 39 32,1 2 6 7 8 10 12 13 14 15 17 18 19 22 23 24,15082,1551386882.554,Thu Feb 28 2019 14:48:02 GMT-0600 (Central Standard Time)
A,181129,train,19,5,6,5 6,2,473 776,39 32,1,1249,1551386889.822,Thu Feb 28 2019 14:48:09 GMT-0600 (Central Standard Time)
A,181129,train,20,2,3,2 3,2,378 382,40 32,1,760,1551386896.594,Thu Feb 28 2019 14:48:16 GMT-0600 (Central Standard Time)
A,181129,train,21,2,3,2 3,2,519 787,40 32,1,1306,1551386903.907,Thu Feb 28 2019 14:48:23 GMT-0600 (Central Standard Time)
A,181129,train,22,4,5,4 3 4 5,4,744 878 619 1012,38 40 40 32,1 2 3,3253,1551386913.177,Thu Feb 28 2019 14:48:33 GMT-0600 (Central Standard Time)
A,181129,train,23,3,1,3 4 5 6 7 8 9 10 1,9,463 461 574 473 573 563 562 552 506 1338 540,40 40 40 39 39 39 38 38 38 37 32,1 2 4 5 7 8 9 10,6605,1551386925.8,Thu Feb 28 2019 14:48:45 GMT-0600 (Central Standard Time)
A,181129,train,24,4,5,4 3 2 1 10 9 10 1 2 3 4 5,12,474 506 844 607 607 507 990 372 528 473 855 765 821 1103 472 945,38 38 39 39 39 40 38 38 37 37 40 37 16 40 40 32,1 2 3 4 6 7 9 10 11 14 15,10869,1551386942.686,Thu Feb 28 2019 14:49:02 GMT-0600 (Central Standard Time)
A,181129,train,25,10,7,10 1 2 3 4 5 6 7,8,413 596 494 608 484 415 451 382 552 731,37 37 37 40 40 40 40 39 39 32,1 2 4 5 6 8 9,5126,1551386953.835,Thu Feb 28 2019 14:49:13 GMT-0600 (Central Standard Time)
A,181129,train,26,8,5,8 7 6 5,4,1340 1148 471 450 710,40 40 37 37 32,1 3 4,4119,1551386963.972,Thu Feb 28 2019 14:49:23 GMT-0600 (Central Standard Time)
A,181129,train,27,10,7,10 1 2 3 4 5 6 7,8,405 450 417 405 426 384 686 483 551,37 37 37 40 40 40 39 39 32,1 2 4 5 6 7 8,4207,1551386974.198,Thu Feb 28 2019 14:49:34 GMT-0600 (Central Standard Time)
A,181129,train,28,1,8,1 2 3 4 3 4 5 6 7 6 5 4 3 2 1 10 9 8 7 8,20,574 450 371 1204 326 12 382 417 551 461 922 406 416 540 787 698 1102 541 416 697 608 528 371 427 360 619 854,37 37 40 16 40 38 40 40 39 39 16 16 37 37 16 16 38 38 38 39 39 39 40 40 40 38 32,1 3 5 6 7 8 9 10 13 14 17 18 19 20 21 23 24 25 26,15040,1551386995.258,Thu Feb 28 2019 14:49:55 GMT-0600 (Central Standard Time)
A,181129,train,29,4,5,4 5,2,603 698,40 32,1,1301,1551387002.571,Thu Feb 28 2019 14:50:02 GMT-0600 (Central Standard Time)
A,181129,train,30,5,4,5 4,2,421 393,38 32,1,814,1551387009.399,Thu Feb 28 2019 14:50:09 GMT-0600 (Central Standard Time)
A,181129,train,31,9,6,9 8 7 6,4,712 686 821 574,40 40 37 32,1 2 3,2793,1551387018.209,Thu Feb 28 2019 14:50:18 GMT-0600 (Central Standard Time)
A,181129,train,32,7,5,7 6 7 6 5,5,578 709 371 530 269 619,37 39 39 37 37 32,1 2 4 5,3076,1551387027.298,Thu Feb 28 2019 14:50:27 GMT-0600 (Central Standard Time)
A,181129,train,33,4,5,4 5,2,603 495,40 32,1,1098,1551387034.42,Thu Feb 28 2019 14:50:34 GMT-0600 (Central Standard Time)
A,181129,train,34,6,1,6 7 8 9 10 1,6,1409 877 507 382 629 642,39 38 38 38 37 32,1 2 3 4 5,4446,1551387044.883,Thu Feb 28 2019 14:50:44 GMT-0600 (Central Standard Time)
A,181129,train,35,7,6,7 6,2,633 821,37 32,1,1454,1551387052.353,Thu Feb 28 2019 14:50:52 GMT-0600 (Central Standard Time)
A,181129,train,36,4,5,4 5,2,2973 383 1282,39 40 32,2,4638,1551387063.007,Thu Feb 28 2019 14:51:03 GMT-0600 (Central Standard Time)
A,181129,train,37,5,3,5 6 7 8 9 10 9 8 7 6 5 4 3,13,731 675 461 551 371 552 585 721 1799 540 596 653 393 383 585 551 372 529 1563 484 518,39 39 39 16 16 38 38 38 38 38 38 40 40 40 40 40 37 37 38 38 32,1 2 6 7 8 12 13 14 17 18 19 20,13613,1551387082.638,Thu Feb 28 2019 14:51:22 GMT-0600 (Central Standard Time)
A,181129,train,38,1,6,1 2 3 4 5 6,6,744 449 450 439 450 449 439 788,37 37 40 40 40 40 39 32,1 3 4 5 7,4208,1551387092.864,Thu Feb 28 2019 14:51:32 GMT-0600 (Central Standard Time)
A,181129,train,39,10,9,10 1 2 3 4 5 6 7 8 9,10,531 495 529 450 383 450 427 405 450 631 472 708,37 37 40 40 40 40 39 39 39 38 38 32,1 2 3 4 5 7 8 10 11,5931,1551387104.812,Thu Feb 28 2019 14:51:44 GMT-0600 (Central Standard Time)
A,181129,train,40,10,7,10 1 2 3 4 5 6 7,8,383 663 1047 495 484 742 528 608,37 37 40 40 40 39 39 32,1 2 3 4 5 6 7,4950,1551387115.78,Thu Feb 28 2019 14:51:55 GMT-0600 (Central Standard Time)
A,181129,train,41,7,5,7 8 9 10 1 2 3 4 5,9,486 460 529 517 417 585 484 528 428 394 764,38 38 38 38 37 37 37 40 40 40 32,1 2 3 5 6 8 9 10,5592,1551387127.391,Thu Feb 28 2019 14:52:07 GMT-0600 (Central Standard Time)
A,181129,train,42,7,5,7 6 5,3,1462 517 1148,37 37 32,1 2,3127,1551387136.526,Thu Feb 28 2019 14:52:16 GMT-0600 (Central Standard Time)
A,181129,train,43,4,5,4 5,2,609 754,40 32,1,1363,1551387143.906,Thu Feb 28 2019 14:52:23 GMT-0600 (Central Standard Time)
A,181129,train,44,4,5,4 5,2,406 799,40 32,1,1205,1551387151.129,Thu Feb 28 2019 14:52:31 GMT-0600 (Central Standard Time)
A,181129,train,45,1,9,1 2 3 4 5 6 7 8 9,9,1564 866 529 461 776 473 394 349 505 349 349 922,37 37 40 40 40 40 39 39 39 38 38 32,1 3 4 5 7 8 10 11,7537,1551387164.684,Thu Feb 28 2019 14:52:44 GMT-0600 (Central Standard Time)
A,181129,train,46,4,5,4 3 2 1 10 9 8 7 6 5,10,1693 550 585 754 326 484 607 1013 439 461 472 540 945,38 38 38 39 39 39 40 40 40 40 37 37 32,1 2 4 5 7 8 9 11 12,8869,1551387179.569,Thu Feb 28 2019 14:52:59 GMT-0600 (Central Standard Time)
A,181129,train,47,2,3,2 3,2,1361 957,40 32,1,2318,1551387187.905,Thu Feb 28 2019 14:53:07 GMT-0600 (Central Standard Time)
A,181129,train,48,6,2,6 5 4 3 2,5,1080 990 472 360 473 675,37 37 38 38 38 32,1 3 4 5,4050,1551387197.974,Thu Feb 28 2019 14:53:17 GMT-0600 (Central Standard Time)
