group, subj_id, stage, trial, start, goal, path, length, RTs, keys, valid_keys, RT_tot, timestamp, datetime
A,166412,train,34,6,1,6 7 6 5 4 3 2 1,8,2369 1206 481 367 464 1121 518 746 454 904,37 38 39 39 39 40 40 40 37 32,1 3 4 6 7 8 9,8630,1551369723.571,Thu Feb 28 2019 08:02:03 GMT-0800 (Pacific Standard Time)
A,166412,train,35,10,7,10 9 8 7,4,409 405 279 480,38 38 38 32,1 2 3,1573,1551369731.166,Thu Feb 28 2019 08:02:11 GMT-0800 (Pacific Standard Time)
A,166412,train,36,2,3,2 3,2,7183 597,38 32,1,7780,1551369744.969,Thu Feb 28 2019 08:02:24 GMT-0800 (Pacific Standard Time)
A,166412,train,37,4,5,4 5,2,452 313,38 32,1,765,1551369751.753,Thu Feb 28 2019 08:02:31 GMT-0800 (Pacific Standard Time)
A,166412,train,38,4,5,4 5,2,482 236,38 32,1,718,1551369758.489,Thu Feb 28 2019 08:02:38 GMT-0800 (Pacific Standard Time)
A,166412,train,39,10,7,10 9 8 7,4,562 302 280 720,38 38 38 32,1 2 3,1864,1551369766.376,Thu Feb 28 2019 08:02:46 GMT-0800 (Pacific Standard Time)
A,166412,train,40,10,7,10 9 8 7,4,37 1470 919 472,38 38 38 32,1 2 3,2898,1551369775.294,Thu Feb 28 2019 08:02:55 GMT-0800 (Pacific Standard Time)
A,166412,train,41,2,3,2 3,2,5409 299,38 32,1,5708,1551369787.023,Thu Feb 28 2019 08:03:07 GMT-0800 (Pacific Standard Time)
A,166412,train,42,10,7,10 9 8 7,4,85 86 82 85 84 84 84 85 85 81 84 7197,38 38 38 38 38 38 38 38 38 38 38 32,1 2 3,8122,1551369801.161,Thu Feb 28 2019 08:03:21 GMT-0800 (Pacific Standard Time)
A,166412,train,43,4,5,4 5,2,414 270,38 32,1,684,1551369807.863,Thu Feb 28 2019 08:03:27 GMT-0800 (Pacific Standard Time)
A,166412,train,44,4,5,4 5,2,408 479,38 32,1,887,1551369814.77,Thu Feb 28 2019 08:03:34 GMT-0800 (Pacific Standard Time)
A,166412,train,45,4,5,4 5,2,632 673,38 32,1,1305,1551369822.095,Thu Feb 28 2019 08:03:42 GMT-0800 (Pacific Standard Time)
A,166412,train,46,10,7,10 9 8 7,4,3045 287 295 417,38 38 38 32,1 2 3,4044,1551369832.159,Thu Feb 28 2019 08:03:52 GMT-0800 (Pacific Standard Time)
A,166412,train,47,4,5,4 5,2,2799 352,38 32,1,3151,1551369841.333,Thu Feb 28 2019 08:04:01 GMT-0800 (Pacific Standard Time)
A,166412,train,48,4,5,4 5,2,4967 348,38 32,1,5315,1551369852.67,Thu Feb 28 2019 08:04:12 GMT-0800 (Pacific Standard Time)
A,166412,train,49,8,6,8 7 6,3,358 1237 672,38 39 32,1 2,2267,1551369860.957,Thu Feb 28 2019 08:04:20 GMT-0800 (Pacific Standard Time)
A,166412,train,50,4,5,4 5,2,10269 435,38 32,1,10704,1551369877.681,Thu Feb 28 2019 08:04:37 GMT-0800 (Pacific Standard Time)
A,166412,train,51,8,9,8 7 6 5 4 3 2 1 10 1 2 3 4 5 6 7 8 9,18,9117 924 776 1288 505 535 1072 736 14413 541 473 455 504 488 626 454 824 424 752 489,38 39 39 40 40 40 37 37 39 39 38 38 38 38 37 37 37 40 40 32,1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 18 19,35396,1551369919.098,Thu Feb 28 2019 08:05:19 GMT-0800 (Pacific Standard Time)
A,166412,train,52,6,2,6 5 4 3 2,5,508 838 2545 847 841,39 40 40 40 32,1 2 3 4,5579,1551369930.7,Thu Feb 28 2019 08:05:30 GMT-0800 (Pacific Standard Time)
A,166412,train,53,10,9,10 9,2,11796 516,38 32,1,12312,1551369949.033,Thu Feb 28 2019 08:05:49 GMT-0800 (Pacific Standard Time)
A,166412,train,54,2,3,2 3,2,888 353,38 32,1,1241,1551369956.296,Thu Feb 28 2019 08:05:56 GMT-0800 (Pacific Standard Time)
A,166412,train,55,4,5,4 5,2,449 340,38 32,1,789,1551369963.105,Thu Feb 28 2019 08:06:03 GMT-0800 (Pacific Standard Time)
A,166412,train,56,2,3,2 3,2,334 190,38 32,1,524,1551369969.652,Thu Feb 28 2019 08:06:09 GMT-0800 (Pacific Standard Time)
A,166412,train,57,9,10,9 10,2,382 564,40 32,1,946,1551369976.618,Thu Feb 28 2019 08:06:16 GMT-0800 (Pacific Standard Time)
A,166412,train,58,7,4,7 6 5 4,4,987 528 758 271,39 39 40 32,1 2 3,2544,1551369985.184,Thu Feb 28 2019 08:06:25 GMT-0800 (Pacific Standard Time)
A,166412,train,59,4,5,4 5,2,6774 412,38 32,1,7186,1551369998.39,Thu Feb 28 2019 08:06:38 GMT-0800 (Pacific Standard Time)
A,166412,train,60,4,5,4 5,2,1151 336,38 32,1,1487,1551370005.9,Thu Feb 28 2019 08:06:45 GMT-0800 (Pacific Standard Time)
A,166412,train,61,4,10,4 5 6 7 8 9 10,7,6143 668 457 911 529 448 486,38 37 37 40 40 40 32,1 2 3 4 5 6,9642,1551370021.562,Thu Feb 28 2019 08:07:01 GMT-0800 (Pacific Standard Time)
A,166412,train,62,2,4,2 3 4,3,8658 293 2088 248,38 32 38 32,1 3,11287,1551370038.87,Thu Feb 28 2019 08:07:18 GMT-0800 (Pacific Standard Time)
A,166412,train,63,3,10,3 4 3 2 1 10 9 10,8,12053 1318 256 343 361 360 423 760 368,38 40 37 40 37 37 38 40 32,1 2 4 5 6 7 8,16242,1551370061.132,Thu Feb 28 2019 08:07:41 GMT-0800 (Pacific Standard Time)
A,166412,train,64,8,10,8 9 10,3,366 237 201,40 40 32,1 2,804,1551370067.958,Thu Feb 28 2019 08:07:47 GMT-0800 (Pacific Standard Time)
A,166412,train,65,9,5,9 8 7 6 5,5,401 486 392 393 655,38 38 39 39 32,1 2 3 4,2327,1551370076.304,Thu Feb 28 2019 08:07:56 GMT-0800 (Pacific Standard Time)
A,166412,train,66,10,7,10 9 8 7,4,466 496 85 84 82 84 8164,38 38 38 38 38 38 32,1 2 3,9461,1551370091.787,Thu Feb 28 2019 08:08:11 GMT-0800 (Pacific Standard Time)
A,166412,train,67,1,5,1 2 3 4 5,5,4809 645 272 320 330,39 38 38 38 32,1 2 3 4,6376,1551370104.184,Thu Feb 28 2019 08:08:24 GMT-0800 (Pacific Standard Time)
A,166412,train,68,6,1,6 7 6 5 4 3 2 1,8,12613 644 1137 1583 8240 398 415 473 480 26697,37 39 39 40 37 40 37 40 37 32,1 2 3 4 6 8 9,52680,1551370162.884,Thu Feb 28 2019 08:09:22 GMT-0800 (Pacific Standard Time)
A,166412,train,69,4,5,4 5,2,663 479,38 32,1,1142,1551370170.043,Thu Feb 28 2019 08:09:30 GMT-0800 (Pacific Standard Time)
A,166412,train,70,2,3,2 3,2,412 308,38 32,1,720,1551370176.784,Thu Feb 28 2019 08:09:36 GMT-0800 (Pacific Standard Time)
A,166412,train,71,3,10,3 2 1 10,4,714 502 418 799,40 37 37 32,1 2 3,2433,1551370185.236,Thu Feb 28 2019 08:09:45 GMT-0800 (Pacific Standard Time)
A,166412,train,72,7,2,7 6 5 4 3 2,6,629 453 455 370 470 585,39 39 40 40 40 32,1 2 3 4 5,2962,1551370194.216,Thu Feb 28 2019 08:09:54 GMT-0800 (Pacific Standard Time)
A,166412,train,73,9,10,9 10,2,2354 499 436 440 319,32 32 32 40 32,4,4048,1551370204.287,Thu Feb 28 2019 08:10:04 GMT-0800 (Pacific Standard Time)
A,166412,train,74,2,3,2 3,2,357 215,38 32,1,572,1551370210.879,Thu Feb 28 2019 08:10:10 GMT-0800 (Pacific Standard Time)
A,166412,train,75,9,7,9 8 7,3,870 438 375,38 38 32,1 2,1683,1551370218.582,Thu Feb 28 2019 08:10:18 GMT-0800 (Pacific Standard Time)
A,166412,train,76,2,3,2 3,2,542 382,38 32,1,924,1551370225.527,Thu Feb 28 2019 08:10:25 GMT-0800 (Pacific Standard Time)
A,166412,train,77,10,6,10 9 8 7 6 5 6,7,11748 573 697 719 464 339 253,38 38 38 39 39 37 32,1 2 3 4 5 6,14793,1551370246.34,Thu Feb 28 2019 08:10:46 GMT-0800 (Pacific Standard Time)
A,166412,train,78,2,3,2 3,2,17838 587,38 32,1,18425,1551370270.783,Thu Feb 28 2019 08:11:10 GMT-0800 (Pacific Standard Time)
A,166412,train,79,2,3,2 3,2,4436 420,38 32,1,4856,1551370281.658,Thu Feb 28 2019 08:11:21 GMT-0800 (Pacific Standard Time)
A,166412,train,80,4,2,4 5 4 3 2,5,2355 798 281 520 422,38 40 40 40 32,1 2 3 4,4376,1551370292.054,Thu Feb 28 2019 08:11:32 GMT-0800 (Pacific Standard Time)
A,166412,train,81,10,2,10 1 2,3,13049 534 585,39 39 32,1 2,14168,1551370312.245,Thu Feb 28 2019 08:11:52 GMT-0800 (Pacific Standard Time)
A,166412,train,82,7,6,7 6,2,9461 503,39 32,1,9964,1551370328.229,Thu Feb 28 2019 08:12:08 GMT-0800 (Pacific Standard Time)
A,166412,train,83,5,7,5 6 7,3,79340 438 545,37 37 32,1 2,80323,1551370414.571,Thu Feb 28 2019 08:13:34 GMT-0800 (Pacific Standard Time)
A,166412,train,84,9,3,9 10 1 2 3,5,494 517 497 544 272 938,40 39 39 39 38 32,1 2 3 5,3262,1551370423.852,Thu Feb 28 2019 08:13:43 GMT-0800 (Pacific Standard Time)
A,166412,train,85,5,9,5 6 7 8 9,5,383 804 624 393 279,37 37 40 40 32,1 2 3 4,2483,1551370432.354,Thu Feb 28 2019 08:13:52 GMT-0800 (Pacific Standard Time)
A,166412,train,86,8,6,8 7 6,3,9584 582 592,38 39 32,1 2,10758,1551370449.132,Thu Feb 28 2019 08:14:09 GMT-0800 (Pacific Standard Time)
A,166412,train,87,2,3,2 3,2,7267 388,38 32,1,7655,1551370462.809,Thu Feb 28 2019 08:14:22 GMT-0800 (Pacific Standard Time)
A,166412,train,88,5,9,5 6 7 8 9,5,305 424 416 248 480 513,37 37 37 40 40 32,1 2 4 5,2386,1551370471.216,Thu Feb 28 2019 08:14:31 GMT-0800 (Pacific Standard Time)
A,166412,train,89,6,7,6 7,2,374 903,37 32,1,1277,1551370478.515,Thu Feb 28 2019 08:14:38 GMT-0800 (Pacific Standard Time)
A,166412,train,90,2,3,2 3,2,811 121,38 32,1,932,1551370485.466,Thu Feb 28 2019 08:14:45 GMT-0800 (Pacific Standard Time)
A,166412,train,91,5,2,5 4 3 2,4,376 547 312 562,40 40 40 32,1 2 3,1797,1551370493.282,Thu Feb 28 2019 08:14:53 GMT-0800 (Pacific Standard Time)
A,166412,train,92,4,2,4 3 2,3,178 519 296,40 40 32,1 2,993,1551370500.295,Thu Feb 28 2019 08:15:00 GMT-0800 (Pacific Standard Time)
A,166412,train,93,1,6,1 2 3 4 5 6,6,352 891 890 550 456 672,39 38 38 38 37 32,1 2 3 4 5,3811,1551370510.124,Thu Feb 28 2019 08:15:10 GMT-0800 (Pacific Standard Time)
A,166412,train,94,8,9,8 9,2,379 126,40 32,1,505,1551370516.651,Thu Feb 28 2019 08:15:16 GMT-0800 (Pacific Standard Time)
A,166412,train,95,2,3,2 3,2,368 316,38 32,1,684,1551370523.357,Thu Feb 28 2019 08:15:23 GMT-0800 (Pacific Standard Time)
A,166412,train,96,2,3,2 3,2,5360 542,38 32,1,5902,1551370535.279,Thu Feb 28 2019 08:15:35 GMT-0800 (Pacific Standard Time)
A,166412,train,97,8,7,8 7,2,355 415,38 32,1,770,1551370542.071,Thu Feb 28 2019 08:15:42 GMT-0800 (Pacific Standard Time)
A,166412,train,98,10,6,10 1 2 3 4 5 6,7,1260 453 713 559 561 551 360,39 39 38 38 38 37 32,1 2 3 4 5 6,4457,1551370552.55,Thu Feb 28 2019 08:15:52 GMT-0800 (Pacific Standard Time)
A,166412,train,99,2,3,2 3,2,448 257,38 32,1,705,1551370559.274,Thu Feb 28 2019 08:15:59 GMT-0800 (Pacific Standard Time)
A,166412,train,100,1,9,1 10 9,3,420 305 631,37 38 32,1 2,1356,1551370566.649,Thu Feb 28 2019 08:16:06 GMT-0800 (Pacific Standard Time)
A,166412,train,101,7,10,7 8 9 10,4,524 430 480 287,40 40 40 32,1 2 3,1721,1551370574.389,Thu Feb 28 2019 08:16:14 GMT-0800 (Pacific Standard Time)
A,166412,train,102,1,3,1 2 3,3,954 592 592,39 38 32,1 2,2138,1551370582.546,Thu Feb 28 2019 08:16:22 GMT-0800 (Pacific Standard Time)
A,166412,train,103,6,1,6 7 8 9 10 1,6,429 973 424 440 376 208,37 40 40 40 39 32,1 2 3 4 5,2850,1551370591.421,Thu Feb 28 2019 08:16:31 GMT-0800 (Pacific Standard Time)
A,166412,test,1,4,6,4 5 6,3,985 688 454,38 37 32,1 2,2127,1551370599.568,Thu Feb 28 2019 08:16:39 GMT-0800 (Pacific Standard Time)
A,166412,test,2,10,7,10 9 8 7,4,485 254 466 216,38 38 38 32,1 2 3,1421,1551370607.005,Thu Feb 28 2019 08:16:47 GMT-0800 (Pacific Standard Time)
A,166412,test,3,10,7,10 9 8 7,4,3936 273 318 400,38 38 38 32,1 2 3,4927,1551370617.951,Thu Feb 28 2019 08:16:57 GMT-0800 (Pacific Standard Time)
A,166412,test,4,4,6,4 5 6,3,635 497 895 543,38 38 37 32,1 3,2570,1551370626.541,Thu Feb 28 2019 08:17:06 GMT-0800 (Pacific Standard Time)
A,166412,test,5,4,6,4 5 6,3,3818 479 399 383,38 38 37 32,1 3,5079,1551370637.641,Thu Feb 28 2019 08:17:17 GMT-0800 (Pacific Standard Time)
A,166412,test,6,6,10,6 7 8 9 10,5,386 1472 279 393 244,37 40 40 40 32,1 2 3 4,2774,1551370646.436,Thu Feb 28 2019 08:17:26 GMT-0800 (Pacific Standard Time)
A,166412,test,7,4,6,4 5 6,3,306 328 271 400,38 38 37 32,1 3,1305,1551370653.764,Thu Feb 28 2019 08:17:33 GMT-0800 (Pacific Standard Time)
A,166412,test,8,10,7,10 9 8 7,4,488 500 84 85 84 85 83 84 155,38 38 38 38 38 38 38 38 32,1 2 3,1648,1551370661.434,Thu Feb 28 2019 08:17:41 GMT-0800 (Pacific Standard Time)
A,166412,test,9,8,6,8 7 6,3,363 277 512,38 39 32,1 2,1152,1551370668.606,Thu Feb 28 2019 08:17:48 GMT-0800 (Pacific Standard Time)
A,166412,test,10,1,3,1 2 3,3,431 535 688,39 38 32,1 2,1654,1551370676.279,Thu Feb 28 2019 08:17:56 GMT-0800 (Pacific Standard Time)
A,166412,test,11,1,3,1 2 3,3,442 760 318,39 38 32,1 2,1520,1551370683.818,Thu Feb 28 2019 08:18:03 GMT-0800 (Pacific Standard Time)
A,166412,test,12,1,3,1 2 3,3,3303 556 383,39 38 32,1 2,4242,1551370694.081,Thu Feb 28 2019 08:18:14 GMT-0800 (Pacific Standard Time)
A,166412,test,13,1,3,1 2 3,3,5163 549 527,39 38 32,1 2,6239,1551370706.341,Thu Feb 28 2019 08:18:26 GMT-0800 (Pacific Standard Time)
A,166412,test,14,7,4,7 6 5 4,4,4501 782 336 536,39 39 40 32,1 2 3,6155,1551370718.516,Thu Feb 28 2019 08:18:38 GMT-0800 (Pacific Standard Time)
A,166412,test,15,1,3,1 2 3,3,4101 739 433,39 38 32,1 2,5273,1551370729.809,Thu Feb 28 2019 08:18:49 GMT-0800 (Pacific Standard Time)
A,166412,test,16,7,8,7 8,2,416 207,40 32,1,623,1551370736.451,Thu Feb 28 2019 08:18:56 GMT-0800 (Pacific Standard Time)
A,166412,test,17,10,8,10 9 8,3,369 262 247,38 38 32,1 2,878,1551370743.35,Thu Feb 28 2019 08:19:03 GMT-0800 (Pacific Standard Time)
A,166412,test,18,1,3,1 2 3,3,383 302 648,39 38 32,1 2,1333,1551370750.705,Thu Feb 28 2019 08:19:10 GMT-0800 (Pacific Standard Time)
A,166412,test,19,1,3,1 2 3,3,2015 395 743,39 38 32,1 2,3153,1551370759.878,Thu Feb 28 2019 08:19:19 GMT-0800 (Pacific Standard Time)
A,166412,test,20,1,3,1 2 3,3,4490 766 294,39 38 32,1 2,5550,1551370771.451,Thu Feb 28 2019 08:19:31 GMT-0800 (Pacific Standard Time)
A,166412,test,21,1,3,1 2 3,3,490 304 327,39 38 32,1 2,1121,1551370778.593,Thu Feb 28 2019 08:19:38 GMT-0800 (Pacific Standard Time)
A,166412,test,22,1,3,1 2 3,3,569 421 296,39 38 32,1 2,1286,1551370785.898,Thu Feb 28 2019 08:19:45 GMT-0800 (Pacific Standard Time)
A,166412,test,23,1,3,1 2 3,3,368 230 272,39 38 32,1 2,870,1551370792.789,Thu Feb 28 2019 08:19:52 GMT-0800 (Pacific Standard Time)
A,166412,test,24,5,7,5 6 7,3,351 350 336,37 37 32,1 2,1037,1551370799.844,Thu Feb 28 2019 08:19:59 GMT-0800 (Pacific Standard Time)
A,166412,test,25,1,3,1 2 3,3,907 391 303,39 38 32,1 2,1601,1551370807.465,Thu Feb 28 2019 08:20:07 GMT-0800 (Pacific Standard Time)
A,166412,test,26,1,3,1 2 3,3,1855 942 297,39 38 32,1 2,3094,1551370816.578,Thu Feb 28 2019 08:20:16 GMT-0800 (Pacific Standard Time)
A,166412,test,27,1,3,1 2 3,3,343 168 152,39 38 32,1 2,663,1551370823.26,Thu Feb 28 2019 08:20:23 GMT-0800 (Pacific Standard Time)
A,166412,test,28,4,6,4 5 6,3,386 188 136,38 37 32,1 2,710,1551370829.995,Thu Feb 28 2019 08:20:29 GMT-0800 (Pacific Standard Time)
A,166412,test,29,10,7,10 9 8 7,4,407 499 84 84 83 84 165,38 38 38 38 38 38 32,1 2 3,1406,1551370837.425,Thu Feb 28 2019 08:20:37 GMT-0800 (Pacific Standard Time)
A,166412,test,30,4,6,4 5 6,3,318 156 208,38 37 32,1 2,682,1551370844.129,Thu Feb 28 2019 08:20:44 GMT-0800 (Pacific Standard Time)
A,166412,test,31,10,7,10 9 8 7,4,60 85 84 82 86 83 257,38 38 38 38 38 38 32,1 2 3,737,1551370850.887,Thu Feb 28 2019 08:20:50 GMT-0800 (Pacific Standard Time)
A,166412,test,32,4,6,4 5 6,3,324 94 424,38 37 32,1 2,842,1551370857.748,Thu Feb 28 2019 08:20:57 GMT-0800 (Pacific Standard Time)
A,166412,test,33,10,7,10 9 8 7,4,237 500 85 83 84 183,38 38 38 38 38 32,1 2 3,1172,1551370864.943,Thu Feb 28 2019 08:21:04 GMT-0800 (Pacific Standard Time)
A,166412,test,34,4,6,4 5 6,3,350 159 239,38 37 32,1 2,748,1551370871.714,Thu Feb 28 2019 08:21:11 GMT-0800 (Pacific Standard Time)
A,166412,test,35,4,6,4 5 6,3,412 94 193,38 37 32,1 2,699,1551370878.434,Thu Feb 28 2019 08:21:18 GMT-0800 (Pacific Standard Time)
A,166412,test,36,4,6,4 5 6,3,368 110 448,38 37 32,1 2,926,1551370885.375,Thu Feb 28 2019 08:21:25 GMT-0800 (Pacific Standard Time)
A,166412,test,37,4,6,4 5 6,3,495 62 330,38 37 32,1 2,887,1551370892.281,Thu Feb 28 2019 08:21:32 GMT-0800 (Pacific Standard Time)
A,166412,test,38,10,7,10 9 8 7,4,278 253 232 464,38 38 38 32,1 2 3,1227,1551370899.529,Thu Feb 28 2019 08:21:39 GMT-0800 (Pacific Standard Time)
A,166412,test,39,6,5,6 5,2,372 64,39 32,1,436,1551370905.985,Thu Feb 28 2019 08:21:45 GMT-0800 (Pacific Standard Time)
A,166412,test,40,4,6,4 5 6,3,489 91 208,38 37 32,1 2,788,1551370912.794,Thu Feb 28 2019 08:21:52 GMT-0800 (Pacific Standard Time)
A,166412,test,41,4,6,4 5 6,3,676 63 202,38 37 32,1 2,941,1551370919.754,Thu Feb 28 2019 08:21:59 GMT-0800 (Pacific Standard Time)
A,166412,test,42,4,6,4 5 6,3,713 27 352,38 37 32,1 2,1092,1551370926.865,Thu Feb 28 2019 08:22:06 GMT-0800 (Pacific Standard Time)
A,166412,test,43,10,7,10 9 8 7,4,392 384 384 272,38 38 38 32,1 2 3,1432,1551370934.316,Thu Feb 28 2019 08:22:14 GMT-0800 (Pacific Standard Time)
A,166412,test,44,1,3,1 2 3,3,426 118 268,39 38 32,1 2,812,1551370941.148,Thu Feb 28 2019 08:22:21 GMT-0800 (Pacific Standard Time)
